step,population_size,births,newborn_AA,newborn_AS,newborn_SS,prop_newborn_AA,prop_newborn_AS,prop_newborn_SS,prop_repro_AA,prop_repro_AS,prop_AS_population
1,5326,1295,751,468,76,0.57992277992278,0.3613899613899614,0.05868725868725869,0.5,0.5,0.4731505820503192
2,5476,1256,707,468,81,0.5628980891719745,0.37261146496815284,0.06449044585987261,0.5003855050115652,0.49961449498843485,0.4627465303140979
3,5633,1239,691,490,58,0.5577078288942696,0.3954802259887006,0.046811945117029866,0.5005775895263765,0.4994224104736234,0.4557074383099592
4,5737,1227,695,442,90,0.5664221678891606,0.3602281988590057,0.07334963325183375,0.5011494252873563,0.49885057471264366,0.44326302945790486
5,5936,1293,785,442,66,0.6071152358855375,0.34184068058778033,0.05104408352668213,0.5271876125315088,0.4728123874684912,0.4272237196765499
6,6125,1329,828,438,63,0.6230248306997742,0.3295711060948081,0.04740406320541761,0.5452356381148951,0.45476436188510494,0.4122448979591837
7,6309,1361,840,453,68,0.6171932402645114,0.3328434974283615,0.04996326230712711,0.5571334214002642,0.44286657859973577,0.40117292756379774
8,6499,1377,860,466,51,0.6245461147421931,0.3384168482207698,0.037037037037037035,0.5716120745022479,0.42838792549775206,0.39144483766733346
9,6684,1406,875,474,57,0.6223328591749644,0.33712660028449504,0.04054054054054054,0.5896722325293754,0.4103277674706246,0.38300418910831835
10,6862,1439,914,455,70,0.6351633078526755,0.3161917998610146,0.048644892286309936,0.607674003569304,0.392325996430696,0.3720489653162343
11,7086,1471,940,497,34,0.6390210740992522,0.33786539768864715,0.023113528212100613,0.6217765042979942,0.37822349570200575,0.3664973186565058
12,7278,1496,1022,432,42,0.6831550802139037,0.2887700534759358,0.02807486631016043,0.6335730088495575,0.36642699115044247,0.3511953833470734
13,7438,1499,1018,435,46,0.6791194129419613,0.2901934623082055,0.030687124749833223,0.6381418092909535,0.36185819070904646,0.34189298198440443
14,7590,1510,1012,455,43,0.6701986754966888,0.30132450331125826,0.02847682119205298,0.6462603140803833,0.35373968591961674,0.3361001317523057
15,7734,1531,1044,439,48,0.681907250163292,0.286740692357936,0.031352057478772045,0.6514522821576764,0.34854771784232363,0.32764416860615464
16,7879,1557,1084,429,44,0.6962106615285806,0.27552986512524086,0.028259473346178548,0.6638083228247162,0.33619167717528375,0.3188221855565427
17,8009,1569,1074,455,40,0.6845124282982792,0.289993626513703,0.025493945188017845,0.6726057906458798,0.3273942093541203,0.31464602322387314
18,8131,1580,1103,439,38,0.6981012658227848,0.27784810126582277,0.024050632911392405,0.6776155717761557,0.3223844282238443,0.3080801869388759
19,8240,1590,1129,425,36,0.710062893081761,0.2672955974842767,0.022641509433962263,0.6846264367816092,0.31537356321839083,0.3012135922330097
20,8347,1602,1149,420,33,0.7172284644194756,0.26217228464419473,0.020599250936329586,0.6933050447901933,0.3066949552098067,0.29483646819216486
21,8443,1612,1165,408,39,0.7227047146401985,0.2531017369727047,0.024193548387096774,0.6981877323420075,0.3018122676579926,0.2884045955229184
22,8547,1622,1180,421,21,0.7274969173859432,0.2595561035758323,0.012946979038224414,0.7033470884915176,0.29665291150848233,0.2837252837252837
23,8619,1626,1150,443,33,0.7072570725707257,0.27244772447724475,0.02029520295202952,0.7110102156640181,0.2889897843359818,0.2822833275321963
24,8701,1633,1215,396,22,0.7440293937538273,0.2424984690753215,0.013472137170851195,0.7156025179856115,0.28439748201438847,0.27410642454890244
25,8766,1639,1209,402,28,0.7376449054301403,0.24527150701647346,0.017083587553386213,0.7215048975957258,0.2784951024042743,0.2697923796486425
26,8821,1649,1231,382,36,0.7465130382049727,0.23165554881746514,0.021831412977562158,0.7268120731438643,0.2731879268561357,0.26346219249518193
27,8882,1654,1254,371,29,0.7581620314389359,0.22430471584038694,0.017533252720677146,0.7279685108244041,0.2720314891755959,0.25726187795541544
28,8941,1660,1256,379,25,0.7566265060240964,0.2283132530120482,0.015060240963855422,0.7335069444444444,0.2664930555555556,0.25299183536517167
29,8988,1663,1269,369,25,0.7630787733012627,0.22188815393866507,0.01503307276007216,0.7388397670907915,0.26116023290920853,0.247774810858923
30,9034,1665,1286,358,21,0.7723723723723723,0.21501501501501502,0.012612612612612612,0.7449549162730785,0.2550450837269214,0.24219614788576488
31,9064,1668,1280,355,33,0.7673860911270983,0.21282973621103118,0.019784172661870502,0.7510143070681188,0.24898569293188128,0.23786407766990292
32,9106,1674,1300,355,19,0.7765830346475507,0.2120669056152927,0.011350059737156512,0.7555225148683092,0.24447748513169074,0.2333626180540303
33,9136,1676,1306,343,27,0.779236276849642,0.20465393794749404,0.016109785202863963,0.7603130949862492,0.23968690501375078,0.22854640980735552
34,9165,1679,1323,331,25,0.7879690291840381,0.19714115544967242,0.014889815366289458,0.7657467874447019,0.23425321255529807,0.2231314784506274
35,9190,1680,1297,356,27,0.7720238095238096,0.2119047619047619,0.01607142857142857,0.7722689075630252,0.22773109243697479,0.22187159956474428
36,9214,1683,1324,336,23,0.7866904337492573,0.19964349376114082,0.013666072489601902,0.7761256544502618,0.22387434554973823,0.21738658563056218
37,9232,1684,1323,337,24,0.7856294536817102,0.2001187648456057,0.014251781472684086,0.7808648422811781,0.2191351577188218,0.21425476603119584
38,9255,1687,1363,307,17,0.8079430942501482,0.1819798458802608,0.01007705986959099,0.7856696521558009,0.21433034784419913,0.20799567801188545
39,9279,1686,1326,346,14,0.7864768683274022,0.20521945432977462,0.00830367734282325,0.7871853546910755,0.2128146453089245,0.20799655135251643
40,9292,1687,1353,311,23,0.8020154119739182,0.18435091879075283,0.013633669235328987,0.7907411251816483,0.20925887481835168,0.2034007748600947
41,9309,1688,1332,337,19,0.7890995260663507,0.19964454976303317,0.011255924170616114,0.7933678756476684,0.2066321243523316,0.20313674938231818
42,9329,1691,1378,302,11,0.814902424600828,0.1785925487876996,0.006505026611472502,0.7980987807398223,0.20190121926017773,0.1978775860220817
43,9342,1693,1391,287,15,0.8216184288245718,0.16952155936207916,0.008860011813349085,0.7985982271696558,0.20140177283034427,0.19310640119888675
44,9351,1692,1403,270,19,0.8291962174940898,0.1595744680851064,0.011229314420803783,0.8023495465787304,0.19765045342126958,0.18768046198267566
45,9361,1693,1385,288,20,0.8180744240992321,0.17011222681630242,0.011813349084465446,0.8028400905536118,0.19715990944638814,0.18566392479435959
46,9375,1695,1377,301,17,0.8123893805309734,0.1775811209439528,0.010029498525073746,0.8061203532552885,0.19387964674471145,0.18432
47,9390,1697,1390,294,13,0.8190925162050677,0.17324690630524456,0.0076605774896876845,0.8118852459016394,0.18811475409836065,0.1817891373801917
48,9397,1697,1373,308,16,0.8090748379493223,0.18149675898644668,0.009428403064230996,0.8177723177723177,0.18222768222768224,0.181547302330531
49,9405,1697,1405,276,16,0.8279316440777843,0.1626399528579847,0.009428403064230996,0.8209535502353182,0.17904644976468181,0.17756512493354598
50,9416,1698,1384,303,11,0.8150765606595995,0.1784452296819788,0.006478209658421673,0.8215088938867308,0.17849110611326927,0.17799490229396772
51,9421,1698,1403,283,12,0.826266195524146,0.16666666666666666,0.007067137809187279,0.824514811031665,0.17548518896833504,0.1752467890882072
52,9429,1699,1436,250,13,0.8452030606238964,0.14714537963507945,0.007651559741024131,0.8240457236170647,0.1759542763829353,0.1702195354756602
53,9435,1700,1399,287,14,0.8229411764705883,0.1688235294117647,0.00823529411764706,0.8277268093781855,0.17227319062181448,0.1708532061473238
54,9435,1700,1422,260,18,0.8364705882352941,0.15294117647058825,0.010588235294117647,0.8270523528213486,0.17294764717865146,0.16714361420243773
55,9441,1702,1429,257,16,0.8396004700352526,0.1509988249118684,0.009400705052878966,0.8278388278388278,0.17216117216117216,0.16470712848215233
56,9444,1702,1430,256,16,0.8401880141010576,0.15041128084606345,0.009400705052878966,0.8315361139369277,0.16846388606307222,0.16253706056755612
57,9450,1703,1440,247,16,0.8455666470933646,0.1450381679389313,0.009395184967704051,0.8316731042894897,0.16832689571051027,0.1598941798941799
58,9458,1702,1436,254,12,0.8437132784958872,0.1492361927144536,0.007050528789659225,0.8348922326148841,0.1651077673851159,0.15838443645591033
59,9464,1702,1431,262,9,0.8407755581668626,0.15393654524089306,0.005287896592244419,0.8376676147907355,0.16233238520926452,0.1574387151310228
60,9466,1701,1452,239,10,0.8536155202821869,0.1405055849500294,0.005878894767783657,0.8413246647704186,0.15867533522958147,0.15402493133319248
61,9474,1702,1449,245,8,0.8513513513513513,0.14394829612220916,0.004700352526439483,0.8442323314378554,0.1557676685621446,0.15231158961367955
62,9476,1701,1466,226,9,0.8618459729570841,0.13286302175191064,0.005291005291005291,0.8473096446700508,0.15269035532994923,0.14869143098353735
63,9481,1702,1446,247,9,0.8495887191539365,0.14512338425381904,0.005287896592244419,0.8480421992290526,0.15195780077094745,0.14829659318637275
64,9487,1703,1454,242,7,0.8537874339401057,0.14210217263652378,0.004110393423370522,0.8499594484995945,0.15004055150040552,0.14662169284283758
65,9490,1704,1470,224,10,0.8626760563380281,0.13145539906103287,0.005868544600938967,0.8523095623987034,0.1476904376012966,0.14351949420442572
66,9502,1704,1479,223,2,0.8679577464788732,0.13086854460093897,0.0011737089201877935,0.8554070473876063,0.1445929526123937,0.141338665544096
67,9499,1703,1473,222,8,0.8649442160892542,0.13035819142689373,0.004697592483852026,0.8558704453441296,0.14412955465587043,0.139488367196547
68,9507,1704,1456,241,7,0.8544600938967136,0.1414319248826291,0.004107981220657277,0.8567381626871712,0.14326183731282882,0.13989691806037657
69,9513,1704,1485,213,6,0.8714788732394366,0.125,0.0035211267605633804,0.8592233009708737,0.1407766990291262,0.13654998423210343
70,9514,1705,1491,207,7,0.8744868035190616,0.12140762463343109,0.004105571847507331,0.862020202020202,0.13797979797979798,0.13411814168593653
