step,population_size,births,newborn_AA,newborn_AS,newborn_SS,prop_newborn_AA,prop_newborn_AS,prop_newborn_SS,prop_repro_AA,prop_repro_AS,prop_AS_population
1,5401,1290,1282,8,0,0.993798449612403,0.006201550387596899,0.0,0.9914761720263464,0.008523827973653622,0.009442695797074616
2,5600,1247,1234,13,0,0.9895749799518845,0.010425020048115477,0.0,0.9903660886319846,0.009633911368015413,0.010714285714285714
3,5783,1231,1216,15,0,0.9878147847278635,0.012185215272136474,0.0,0.9892679187428134,0.010732081257186662,0.012104444060176378
4,5948,1221,1209,12,0,0.9901719901719902,0.009828009828009828,0.0,0.9867071781238131,0.013292821876186859,0.011936785474108945
5,6179,1297,1277,20,0,0.9845797995373939,0.015420200462606014,0.0,0.9873194786896795,0.012680521310320535,0.01278524033015051
6,6406,1344,1324,20,0,0.9851190476190477,0.01488095238095238,0.0,0.9876912840984697,0.012308715901530274,0.013112706837339994
7,6629,1379,1365,14,0,0.9898477157360406,0.01015228426395939,0.0,0.9875993640699523,0.012400635930047695,0.01221903756222658
8,6842,1403,1383,20,0,0.9857448325017819,0.014255167498218105,0.0,0.9886572654812998,0.011342734518700184,0.012569424144986846
9,7060,1438,1415,23,0,0.9840055632823366,0.015994436717663423,0.0,0.9882525697503671,0.011747430249632892,0.013031161473087818
10,7279,1473,1458,15,0,0.9898167006109979,0.010183299389002037,0.0,0.9879009566685425,0.012099043331457513,0.012089572743508723
11,7497,1508,1491,17,0,0.9887267904509284,0.011273209549071617,0.0,0.9886578449905482,0.011342155009451797,0.012004801920768308
12,7709,1538,1520,18,0,0.988296488946684,0.011703511053315995,0.0,0.9882903981264637,0.0117096018735363,0.011804384485666104
13,7884,1539,1521,18,0,0.9883040935672515,0.011695906432748537,0.0,0.9877300613496932,0.012269938650306749,0.011542364282090309
14,8051,1553,1527,26,0,0.9832582099162911,0.01674179008370895,0.0,0.988255872063968,0.011744127936031985,0.012420817289777668
15,8205,1572,1553,19,0,0.9879134860050891,0.012086513994910942,0.0,0.9883040935672515,0.011695906432748537,0.01194393662400975
16,8349,1595,1572,23,0,0.9855799373040752,0.014420062695924765,0.0,0.9886039886039886,0.011396011396011397,0.01221703197987783
17,8475,1608,1593,15,0,0.9906716417910447,0.009328358208955223,0.0,0.9890544946436889,0.010945505356311131,0.011327433628318584
18,8593,1619,1592,27,0,0.9833230389129092,0.016676961087090797,0.0,0.9883107953243181,0.01168920467568187,0.012335622017921564
19,8699,1629,1613,16,0,0.9901780233271946,0.009821976672805401,0.0,0.9884823848238482,0.011517615176151762,0.01138061846189217
20,8799,1640,1616,24,0,0.9853658536585366,0.014634146341463415,0.0,0.9884264411306477,0.011573558869352326,0.012046823502670757
21,8888,1649,1622,26,1,0.9836264402668283,0.015767131594906003,0.0006064281382656155,0.9890158172231986,0.010984182776801407,0.012376237623762377
22,8969,1657,1638,19,0,0.9885334942667471,0.011466505733252867,0.0,0.9880486744893524,0.011951325510647544,0.012041476195785484
23,9042,1662,1641,21,0,0.9873646209386282,0.01263537906137184,0.0,0.9883695886280423,0.011630411371957786,0.012165450121654502
24,9103,1667,1650,17,0,0.9898020395920816,0.010197960407918417,0.0,0.9878231147190771,0.01217688528092288,0.011644512797978688
25,9163,1673,1652,21,0,0.9874476987447699,0.012552301255230125,0.0,0.9872827469266638,0.01271725307333616,0.012004801920768308
26,9213,1678,1658,20,0,0.9880810488676997,0.011918951132300357,0.0,0.9877971807279613,0.012202819272038713,0.011722565939433409
27,9263,1683,1662,21,0,0.9875222816399287,0.012477718360071301,0.0,0.9878737194229563,0.012126280577043697,0.012091115189463457
