step,population_size,births,newborn_AA,newborn_AS,newborn_SS,prop_newborn_AA,prop_newborn_AS,prop_newborn_SS,prop_repro_AA,prop_repro_AS,prop_AS_population
1,5404,1295,1281,14,0,0.9891891891891892,0.010810810810810811,0.0,0.9915057915057915,0.008494208494208495,0.010547742413027387
2,5598,1248,1235,13,0,0.9895833333333334,0.010416666666666666,0.0,0.9903697996918336,0.00963020030816641,0.011254019292604502
3,5774,1228,1219,9,0,0.992671009771987,0.007328990228013029,0.0,0.98923904688701,0.010760953112990008,0.0114305507447177
4,5931,1214,1191,23,0,0.9810543657331137,0.018945634266886325,0.0,0.9866259075277035,0.013374092472296522,0.013488450514247175
5,6157,1292,1272,20,0,0.9845201238390093,0.015479876160990712,0.0,0.9865439093484419,0.013456090651558074,0.01364300795842131
6,6384,1340,1324,16,0,0.9880597014925373,0.011940298507462687,0.0,0.9869565217391304,0.013043478260869565,0.01331453634085213
7,6605,1375,1370,5,0,0.9963636363636363,0.0036363636363636364,0.0,0.9878633024592782,0.012136697540721815,0.011203633610900833
8,6816,1399,1379,20,0,0.9857040743388135,0.014295925661186561,0.0,0.9870689655172413,0.01293103448275862,0.012030516431924883
9,7035,1434,1412,22,0,0.9846582984658299,0.015341701534170154,0.0,0.9870168191206846,0.012983180879315432,0.012508884150675196
10,7258,1471,1452,19,0,0.9870836165873556,0.01291638341264446,0.0,0.9875706214689266,0.012429378531073447,0.012400110223201984
11,7479,1506,1493,13,0,0.9913678618857902,0.008632138114209827,0.0,0.9891686975358787,0.01083130246412131,0.011498863484423052
12,7693,1537,1523,14,0,0.9908913467794405,0.009108653220559532,0.0,0.988787483702738,0.01121251629726206,0.011049005589496945
13,7873,1538,1517,21,0,0.9863459037711313,0.013654096228868661,0.0,0.9882172131147541,0.0117827868852459,0.01155849104534485
14,8039,1552,1533,19,0,0.9877577319587629,0.012242268041237113,0.0,0.9879909932449337,0.0120090067550663,0.011444209478790894
15,8197,1572,1557,15,0,0.9904580152671756,0.009541984732824428,0.0,0.9885337887289583,0.011466211271041717,0.010979626692692448
16,8346,1595,1578,17,0,0.9893416927899686,0.010658307210031349,0.0,0.9893111638954869,0.010688836104513063,0.010903426791277258
17,8475,1609,1587,22,0,0.9863269111249223,0.013673088875077687,0.0,0.9888242142025612,0.011175785797438883,0.011327433628318584
