step,population_size,births,newborn_AA,newborn_AS,newborn_SS,prop_newborn_AA,prop_newborn_AS,prop_newborn_SS,prop_repro_AA,prop_repro_AS,prop_AS_population
1,101,23,23,0,0,1.0,0.0,0.0,1.0,0.0,0.009900990099009901
2,102,22,22,0,0,1.0,0.0,0.0,1.0,0.0,0.00980392156862745
3,104,22,22,0,0,1.0,0.0,0.0,1.0,0.0,0.009615384615384616
4,109,25,25,0,0,1.0,0.0,0.0,0.98,0.02,0.009174311926605505
5,114,25,24,1,0,0.96,0.04,0.0,0.9807692307692307,0.019230769230769232,0.017543859649122806
6,119,26,26,0,0,1.0,0.0,0.0,0.9818181818181818,0.01818181818181818,0.01680672268907563
7,123,26,26,0,0,1.0,0.0,0.0,0.9824561403508771,0.017543859649122806,0.016260162601626018
8,128,27,26,1,0,0.9629629629629629,0.037037037037037035,0.0,0.9836065573770492,0.01639344262295082,0.0234375
9,135,29,29,0,0,1.0,0.0,0.0,0.9692307692307692,0.03076923076923077,0.022222222222222223
10,140,29,28,1,0,0.9655172413793104,0.034482758620689655,0.0,0.9710144927536232,0.028985507246376812,0.02857142857142857
11,146,30,26,4,0,0.8666666666666667,0.13333333333333333,0.0,0.9722222222222222,0.027777777777777776,0.0547945205479452
12,149,29,29,0,0,1.0,0.0,0.0,0.971830985915493,0.028169014084507043,0.040268456375838924
13,154,30,30,0,0,1.0,0.0,0.0,0.9733333333333334,0.02666666666666667,0.03896103896103896
14,158,31,29,2,0,0.9354838709677419,0.06451612903225806,0.0,0.9620253164556962,0.0379746835443038,0.05063291139240506
15,163,32,30,2,0,0.9375,0.0625,0.0,0.9397590361445783,0.060240963855421686,0.05521472392638037
16,167,32,32,0,0,1.0,0.0,0.0,0.9411764705882353,0.058823529411764705,0.041916167664670656
17,173,33,32,1,0,0.9696969696969697,0.030303030303030304,0.0,0.9540229885057471,0.04597701149425287,0.046242774566473986
18,178,33,29,4,0,0.8787878787878788,0.12121212121212122,0.0,0.9444444444444444,0.05555555555555555,0.06741573033707865
19,181,33,31,2,0,0.9393939393939394,0.06060606060606061,0.0,0.9354838709677419,0.06451612903225806,0.06629834254143646
20,187,34,33,1,0,0.9705882352941176,0.029411764705882353,0.0,0.9473684210526315,0.05263157894736842,0.06417112299465241
21,190,34,31,2,1,0.9117647058823529,0.058823529411764705,0.029411764705882353,0.9381443298969072,0.061855670103092786,0.06842105263157895
22,193,34,29,5,0,0.8529411764705882,0.14705882352941177,0.0,0.9292929292929293,0.0707070707070707,0.08808290155440414
