step,population_size,births,newborn_AA,newborn_AS,newborn_SS,prop_newborn_AA,prop_newborn_AS,prop_newborn_SS,prop_repro_AA,prop_repro_AS,prop_AS_population
1,999,253,240,13,0,0.9486166007905138,0.05138339920948617,0.0,0.958498023715415,0.041501976284584984,0.055055055055055056
2,960,255,247,8,0,0.9686274509803922,0.03137254901960784,0.0,0.9529411764705882,0.047058823529411764,0.058333333333333334
3,927,262,256,6,0,0.9770992366412213,0.022900763358778626,0.0,0.9473684210526315,0.05263157894736842,0.061488673139158574
4,866,241,229,12,0,0.950207468879668,0.04979253112033195,0.0,0.9268817204301075,0.07311827956989247,0.07274826789838337
5,813,229,207,22,0,0.9039301310043668,0.09606986899563319,0.0,0.9133489461358314,0.08665105386416862,0.0897908979089791
6,762,213,191,22,0,0.8967136150234741,0.10328638497652583,0.0,0.9095607235142119,0.09043927648578812,0.1036745406824147
7,714,199,184,15,0,0.9246231155778895,0.07537688442211055,0.0,0.9088319088319088,0.09116809116809117,0.10784313725490197
8,665,186,164,22,0,0.8817204301075269,0.11827956989247312,0.0,0.89937106918239,0.10062893081761007,0.12781954887218044
9,622,174,150,24,0,0.8620689655172413,0.13793103448275862,0.0,0.8724137931034482,0.12758620689655173,0.14630225080385853
10,583,163,138,25,0,0.8466257668711656,0.15337423312883436,0.0,0.8446969696969697,0.1553030303030303,0.16638078902229847
11,542,149,120,28,1,0.8053691275167785,0.18791946308724833,0.006711409395973154,0.826271186440678,0.17372881355932204,0.19557195571955718
12,520,152,121,30,1,0.7960526315789473,0.19736842105263158,0.006578947368421052,0.8076923076923077,0.19230769230769232,0.21923076923076923
13,496,148,114,33,1,0.7702702702702703,0.22297297297297297,0.006756756756756757,0.7822222222222223,0.21777777777777776,0.24596774193548387
14,475,143,110,30,3,0.7692307692307693,0.2097902097902098,0.02097902097902098,0.7570093457943925,0.24299065420560748,0.26526315789473687
15,460,138,104,33,1,0.7536231884057971,0.2391304347826087,0.007246376811594203,0.7241379310344828,0.27586206896551724,0.29130434782608694
16,450,136,92,44,0,0.6764705882352942,0.3235294117647059,0.0,0.6934673366834171,0.3065326633165829,0.33555555555555555
17,440,135,95,34,6,0.7037037037037037,0.2518518518518518,0.044444444444444446,0.6581632653061225,0.34183673469387754,0.35
18,434,133,88,42,3,0.6616541353383458,0.3157894736842105,0.022556390977443608,0.625,0.375,0.3847926267281106
19,429,131,92,33,6,0.7022900763358778,0.25190839694656486,0.04580152671755725,0.5851063829787234,0.4148936170212766,0.3939393939393939
20,432,132,74,54,4,0.5606060606060606,0.4090909090909091,0.030303030303030304,0.5291005291005291,0.4708994708994709,0.4513888888888889
21,435,134,83,42,9,0.6194029850746269,0.31343283582089554,0.06716417910447761,0.5104166666666666,0.4895833333333333,0.45517241379310347
22,441,137,87,42,8,0.635036496350365,0.30656934306569344,0.058394160583941604,0.4873096446700508,0.5126903553299492,0.4671201814058957
23,444,137,73,56,8,0.5328467153284672,0.40875912408759124,0.058394160583941604,0.4797979797979798,0.5202020202020202,0.5112612612612613
24,453,141,82,51,8,0.5815602836879432,0.3617021276595745,0.05673758865248227,0.4433497536945813,0.5566502463054187,0.5143487858719646
25,458,138,72,59,7,0.5217391304347826,0.427536231884058,0.050724637681159424,0.43283582089552236,0.5671641791044776,0.5480349344978166
26,458,139,73,52,14,0.5251798561151079,0.37410071942446044,0.10071942446043165,0.4207920792079208,0.5792079207920792,0.5567685589519651
27,460,141,62,63,16,0.4397163120567376,0.44680851063829785,0.11347517730496454,0.3902439024390244,0.6097560975609756,0.591304347826087
28,462,142,62,60,20,0.43661971830985913,0.4225352112676056,0.14084507042253522,0.375,0.625,0.6060606060606061
29,474,144,71,63,10,0.4930555555555556,0.4375,0.06944444444444445,0.35071090047393366,0.6492890995260664,0.609704641350211
30,474,143,59,70,14,0.4125874125874126,0.48951048951048953,0.0979020979020979,0.33649289099526064,0.6635071090047393,0.6413502109704642
31,480,145,62,64,19,0.42758620689655175,0.4413793103448276,0.1310344827586207,0.308411214953271,0.6915887850467289,0.6479166666666667
32,480,147,63,63,21,0.42857142857142855,0.42857142857142855,0.14285714285714285,0.2995391705069124,0.7004608294930875,0.6583333333333333
33,487,149,57,75,17,0.3825503355704698,0.5033557046979866,0.11409395973154363,0.2850678733031674,0.7149321266968326,0.6837782340862423
34,494,152,67,66,19,0.4407894736842105,0.4342105263157895,0.125,0.2610619469026549,0.7389380530973452,0.6761133603238867
35,494,151,62,69,20,0.4105960264900662,0.45695364238410596,0.13245033112582782,0.25663716814159293,0.7433628318584071,0.6902834008097166
36,487,151,55,68,28,0.36423841059602646,0.4503311258278146,0.18543046357615894,0.24444444444444444,0.7555555555555555,0.7084188911704312
37,500,154,64,73,17,0.4155844155844156,0.474025974025974,0.11038961038961038,0.2314410480349345,0.7685589519650655,0.706
38,499,153,54,79,20,0.35294117647058826,0.5163398692810458,0.13071895424836602,0.22608695652173913,0.7739130434782608,0.7274549098196392
39,506,154,64,70,20,0.4155844155844156,0.45454545454545453,0.12987012987012986,0.22510822510822512,0.7748917748917749,0.717391304347826
40,503,154,59,68,27,0.38311688311688313,0.44155844155844154,0.17532467532467533,0.21982758620689655,0.7801724137931034,0.7256461232604374
41,511,156,51,84,21,0.3269230769230769,0.5384615384615384,0.1346153846153846,0.2127659574468085,0.7872340425531915,0.7475538160469667
42,520,158,65,74,19,0.41139240506329117,0.46835443037974683,0.12025316455696203,0.20502092050209206,0.7949790794979079,0.7307692307692307
43,510,158,58,67,33,0.3670886075949367,0.4240506329113924,0.2088607594936709,0.20416666666666666,0.7958333333333333,0.7352941176470589
44,515,160,66,66,28,0.4125,0.4125,0.175,0.2074688796680498,0.7925311203319502,0.7242718446601941
45,517,162,48,88,26,0.2962962962962963,0.5432098765432098,0.16049382716049382,0.19591836734693877,0.8040816326530612,0.7601547388781431
46,527,163,60,77,26,0.36809815950920244,0.4723926380368098,0.15950920245398773,0.19433198380566802,0.805668016194332,0.7438330170777988
47,529,160,62,75,23,0.3875,0.46875,0.14375,0.19591836734693877,0.8040816326530612,0.7429111531190926
48,527,159,61,71,27,0.3836477987421384,0.44654088050314467,0.16981132075471697,0.19753086419753085,0.8024691358024691,0.7419354838709677
49,528,164,46,87,31,0.2804878048780488,0.5304878048780488,0.18902439024390244,0.188,0.812,0.7689393939393939
