step,population_size,births,newborn_AA,newborn_AS,newborn_SS,prop_newborn_AA,prop_newborn_AS,prop_newborn_SS,prop_repro_AA,prop_repro_AS,prop_AS_population
1,5305,1294,1271,23,0,0.982225656877898,0.01777434312210201,0.0,0.9814456899884035,0.018554310011596443,0.019038642789820922
2,5381,1255,1234,21,0,0.9832669322709163,0.016733067729083666,0.0,0.9818252126836814,0.01817478731631864,0.018769745400483182
3,5455,1246,1227,19,0,0.9847512038523274,0.015248796147672551,0.0,0.9822119102861562,0.017788089713843776,0.018148487626031166
4,5496,1207,1184,23,0,0.9809444904722452,0.019055509527754765,0.0,0.9805786761791518,0.019421323820848196,0.01874090247452693
5,5594,1250,1229,21,0,0.9832,0.0168,0.0,0.9805640243902439,0.019435975609756097,0.01841258491240615
6,5691,1275,1249,26,0,0.9796078431372549,0.0203921568627451,0.0,0.9807549962990377,0.01924500370096225,0.01932876471621859
7,5788,1295,1275,20,0,0.9845559845559846,0.015444015444015444,0.0,0.9808664259927797,0.019133574007220218,0.018659295093296474
8,5873,1304,1279,24,1,0.9808282208588958,0.018404907975460124,0.0007668711656441718,0.98045486851457,0.01954513148542999,0.01907032181168057
9,5965,1320,1297,23,0,0.9825757575757575,0.017424242424242425,0.0,0.9804878048780488,0.01951219512195122,0.019111483654652137
10,6057,1337,1314,23,0,0.9827973074046372,0.01720269259536275,0.0,0.9795431299011251,0.020456870098874872,0.019151395080072645
11,6145,1354,1330,23,1,0.982274741506647,0.016986706056129987,0.0007385524372230429,0.9799599198396793,0.02004008016032064,0.01903986981285598
12,6242,1378,1354,24,0,0.9825834542815675,0.01741654571843251,0.0,0.9807942708333334,0.019205729166666668,0.018904197372636974
13,6315,1374,1349,25,0,0.9818049490538574,0.018195050946142648,0.0,0.9809061488673139,0.019093851132686083,0.019002375296912115
14,6384,1380,1356,24,0,0.9826086956521739,0.017391304347826087,0.0,0.9807877041306436,0.01921229586935639,0.018796992481203006
15,6450,1388,1366,22,0,0.984149855907781,0.01585014409221902,0.0,0.9806962025316456,0.01930379746835443,0.018449612403100776
16,6516,1402,1378,24,0,0.9828815977175464,0.017118402282453638,0.0,0.980691373403924,0.01930862659607599,0.018569674647022714
17,6575,1410,1384,26,0,0.9815602836879432,0.018439716312056736,0.0,0.9802955665024631,0.019704433497536946,0.019011406844106463
18,6624,1415,1382,33,0,0.976678445229682,0.023321554770318022,0.0,0.9807692307692307,0.019230769230769232,0.020229468599033816
19,6674,1421,1394,27,0,0.9809992962702322,0.019000703729767768,0.0,0.9806236754465637,0.01937632455343627,0.020227749475576866
20,6715,1427,1398,28,1,0.979677645409951,0.019621583742116328,0.000700770847932726,0.9807865505854098,0.019213449414590213,0.020253164556962026
21,6757,1433,1400,33,0,0.9769713886950454,0.023028611304954642,0.0,0.9803395889186773,0.01966041108132261,0.021163238123427557
22,6794,1437,1415,22,0,0.9846903270702854,0.015309672929714684,0.0,0.9789878662326132,0.021012133767386802,0.020164851339417134
23,6827,1441,1402,38,1,0.9729354614850798,0.0263705759888966,0.0006939625260235947,0.9785167745732783,0.0214832254267216,0.022264537864362093
24,6861,1443,1415,28,0,0.9805959805959806,0.019404019404019403,0.0,0.9780316344463972,0.021968365553602813,0.0220084535781956
25,6891,1447,1414,33,0,0.9771941948859709,0.022805805114029024,0.0,0.9769880570929217,0.023011942907078357,0.02292845740821361
26,6918,1452,1414,38,0,0.9738292011019284,0.026170798898071626,0.0,0.977404403244496,0.022595596755504054,0.024284475281873375
27,6943,1455,1421,33,1,0.9766323024054983,0.02268041237113402,0.0006872852233676976,0.9751946928179983,0.024805307182001732,0.02448509289932306
28,6964,1457,1417,40,0,0.9725463280713795,0.027453671928620454,0.0,0.974719908072393,0.02528009192760701,0.025847214244686962
29,6984,1459,1419,39,1,0.9725839616175462,0.026730637422892393,0.0006854009595613434,0.9742268041237113,0.02577319587628866,0.02663230240549828
30,7002,1462,1424,38,0,0.9740082079343365,0.025991792065663474,0.0,0.9737367970311162,0.026263202968883813,0.027277920594115965
31,7020,1463,1425,38,0,0.974025974025974,0.025974025974025976,0.0,0.9732346241457859,0.026765375854214124,0.02792022792022792
32,7036,1465,1422,43,0,0.9706484641638226,0.029351535836177476,0.0,0.9718989497587284,0.028101050241271644,0.029135872654917568
33,7050,1466,1422,44,0,0.9699863574351978,0.030013642564802184,0.0,0.9713799943326722,0.028620005667327857,0.03021276595744681
34,7060,1468,1422,46,0,0.9686648501362398,0.031335149863760216,0.0,0.9697569248162804,0.030243075183719617,0.031161473087818695
35,7068,1468,1429,39,0,0.973433242506812,0.02656675749318801,0.0,0.9695087521174478,0.030491247882552232,0.03098471986417657
36,7074,1470,1418,52,0,0.964625850340136,0.03537414965986395,0.0,0.9681510710259301,0.0318489289740699,0.032796154933559515
37,7081,1470,1433,37,0,0.9748299319727891,0.025170068027210883,0.0,0.967887323943662,0.03211267605633803,0.03191639598926705
38,7084,1470,1425,44,1,0.9693877551020408,0.029931972789115645,0.0006802721088435374,0.9670700816211653,0.032929918378834785,0.03260869565217391
39,7090,1471,1414,56,1,0.9612508497620667,0.038069340584636305,0.0006798096532970768,0.9673699015471168,0.03263009845288326,0.03483779971791255
40,7096,1473,1433,40,0,0.9728445349626612,0.027155465037338764,0.0,0.9651880965749579,0.03481190342504211,0.033680947012401354
41,7098,1473,1423,48,2,0.9660556687033266,0.032586558044806514,0.0013577732518669382,0.9660398540555711,0.03396014594442885,0.03451676528599606
42,7102,1473,1415,58,0,0.9606245756958588,0.03937542430414121,0.0,0.9657687991021324,0.03423120089786756,0.03618698958039989
43,7108,1473,1421,51,1,0.9646978954514596,0.034623217922606926,0.0006788866259334691,0.9641054402692092,0.0358945597307908,0.03643781654473832
44,7115,1475,1419,55,1,0.9620338983050848,0.03728813559322034,0.0006779661016949153,0.9644357322878745,0.03556426771212545,0.037666900913562895
45,7122,1475,1416,59,0,0.96,0.04,0.0,0.9633566433566434,0.03664335664335664,0.039174389216512215
46,7131,1477,1419,58,0,0.960731211916046,0.03926878808395396,0.0,0.9611840268081542,0.038815973191845855,0.04010657691768336
47,7135,1477,1439,38,0,0.974272173324306,0.025727826675693975,0.0,0.9603684063633826,0.03963159363661736,0.038121934127540294
48,7137,1476,1428,48,0,0.967479674796748,0.032520325203252036,0.0,0.9600893106335473,0.039910689366452694,0.038811825697071596
49,7141,1477,1415,60,2,0.9580230196343941,0.040622884224779957,0.0013540961408259986,0.9578918014500837,0.04210819854991634,0.04061055874527377
50,7148,1479,1408,71,0,0.9519945909398242,0.048005409060175794,0.0,0.9562795878585352,0.04372041214146477,0.04308897593732513
51,7151,1478,1414,64,0,0.9566982408660352,0.04330175913396482,0.0,0.9585073795600111,0.04149262043998886,0.04349042092015103
52,7156,1478,1415,63,0,0.9573748308525034,0.04262516914749662,0.0,0.9587858535226956,0.04121414647730437,0.04443823365008385
53,7159,1479,1408,71,0,0.9519945909398242,0.048005409060175794,0.0,0.9574408901251739,0.04255910987482615,0.04623550775247939
54,7163,1480,1416,64,0,0.9567567567567568,0.043243243243243246,0.0,0.9552529182879378,0.04474708171206226,0.046488901298338686
55,7165,1480,1424,55,1,0.9621621621621622,0.037162162162162164,0.0006756756756756757,0.9541666666666667,0.04583333333333333,0.046057222609909285
56,7168,1480,1413,66,1,0.9547297297297297,0.0445945945945946,0.0006756756756756757,0.9533462926964732,0.0466537073035268,0.04743303571428571
57,7172,1481,1386,94,1,0.9358541525995948,0.06347062795408508,0.0006752194463200541,0.9514563106796117,0.04854368932038835,0.052007808142777466
58,7176,1482,1410,71,1,0.951417004048583,0.047908232118758436,0.0006747638326585695,0.9509423503325942,0.049057649667405764,0.05142140468227425
59,7178,1480,1399,80,1,0.9452702702702702,0.05405405405405406,0.0006756756756756757,0.950624133148405,0.04937586685159501,0.05335748119253274
60,7181,1481,1418,61,2,0.9574611748818366,0.041188386225523295,0.0013504388926401081,0.9495565410199557,0.05044345898004435,0.05222113911711461
61,7184,1483,1403,79,1,0.9460552933243426,0.053270397842211735,0.0006743088334457181,0.9446596568898727,0.05534034311012728,0.054426503340757236
62,7188,1484,1408,75,1,0.9487870619946092,0.05053908355795148,0.0006738544474393531,0.9438606194690266,0.05613938053097345,0.05481357818586533
63,7190,1483,1407,75,1,0.9487525286581254,0.05057316250842886,0.0006743088334457181,0.9424619640387275,0.05753803596127247,0.05549374130737135
64,7192,1483,1401,81,1,0.9447066756574511,0.05461901550910317,0.0006743088334457181,0.9435684647302904,0.056431535269709544,0.056868743047830926
65,7194,1483,1391,91,1,0.9379635873229939,0.06136210384356035,0.0006743088334457181,0.9424937793751728,0.05750622062482721,0.05921601334445371
66,7195,1484,1398,85,1,0.9420485175202157,0.05727762803234501,0.0006738544474393531,0.9414364640883978,0.05856353591160221,0.05990271021542738
