step,population_size,births,newborn_AA,newborn_AS,newborn_SS,prop_newborn_AA,prop_newborn_AS,prop_newborn_SS,prop_repro_AA,prop_repro_AS,prop_AS_population
1,5310,1294,1283,11,0,0.991499227202473,0.008500772797527048,0.0,0.991495941244685,0.008504058755315036,0.010169491525423728
2,5391,1256,1249,7,0,0.9944267515923567,0.005573248407643312,0.0,0.9903474903474904,0.009652509652509652,0.010202188833240587
3,5473,1248,1235,13,0,0.9895833333333334,0.010416666666666666,0.0,0.9892016968762052,0.010798303123794832,0.011876484560570071
4,5513,1209,1192,17,0,0.9859387923904053,0.014061207609594707,0.0,0.9861823924200552,0.01381760757994473,0.01306003990567749
5,5611,1252,1232,20,0,0.9840255591054313,0.01597444089456869,0.0,0.9859475883023168,0.01405241169768325,0.013901265371591517
6,5706,1277,1254,23,0,0.9819890368050117,0.018010963194988253,0.0,0.9870848708487084,0.012915129151291513,0.014896600070101648
7,5800,1296,1284,12,0,0.9907407407407407,0.009259259259259259,0.0,0.9873919308357348,0.01260806916426513,0.013793103448275862
8,5886,1305,1292,13,0,0.9900383141762452,0.00996168582375479,0.0,0.9865200425682866,0.013479957431713374,0.013591573224600747
9,5974,1321,1300,21,0,0.9841029523088569,0.015897047691143074,0.0,0.9857440890125174,0.014255910987482615,0.014395714763977234
10,6065,1338,1313,25,0,0.9813153961136024,0.01868460388639761,0.0,0.9846782431052093,0.015321756894790603,0.01549876339653751
11,6157,1356,1336,20,0,0.9852507374631269,0.014749262536873156,0.0,0.9853333333333333,0.014666666666666666,0.015429592333928861
12,6254,1381,1359,21,1,0.9840695148443157,0.015206372194062274,0.000724112961622013,0.9860480207657365,0.013951979234263466,0.015510073552926128
13,6328,1377,1354,23,0,0.9832970225127088,0.01670297748729121,0.0,0.9854791868344628,0.01452081316553727,0.01580278128950695
14,6393,1380,1358,22,0,0.9840579710144928,0.015942028985507246,0.0,0.984649824112568,0.015350175887432043,0.016111371812920383
15,6459,1388,1363,25,0,0.9819884726224783,0.018011527377521614,0.0,0.9841872232764073,0.015812776723592662,0.016875677349434896
16,6525,1403,1374,29,0,0.9793300071275838,0.020669992872416252,0.0,0.9838258164852255,0.016174183514774496,0.017777777777777778
17,6582,1410,1387,23,0,0.9836879432624114,0.016312056737588652,0.0,0.9833897262380806,0.016610273761919408,0.0176238225463385
18,6631,1416,1388,28,0,0.980225988700565,0.01977401129943503,0.0,0.98322659347362,0.016773406526379993,0.018398431609108732
19,6678,1421,1389,32,0,0.9774806474313863,0.022519352568613652,0.0,0.9824508320726173,0.017549167927382755,0.01946690625935909
