step,population_size,births,newborn_AA,newborn_AS,newborn_SS,prop_newborn_AA,prop_newborn_AS,prop_newborn_SS,prop_repro_AA,prop_repro_AS,prop_AS_population
1,3182,774,772,2,0,0.9974160206718347,0.002583979328165375,0.0,0.9922530664945126,0.007746933505487412,0.008170961659333752
2,3230,752,744,8,0,0.9893617021276596,0.010638297872340425,0.0,0.9916129032258064,0.008387096774193548,0.009907120743034056
3,3280,748,737,11,0,0.9852941176470589,0.014705882352941176,0.0,0.9903412749517064,0.009658725048293626,0.012195121951219513
4,3308,726,721,5,0,0.9931129476584022,0.006887052341597796,0.0,0.9868421052631579,0.013157894736842105,0.012091898428053204
5,3371,751,740,11,0,0.9853528628495339,0.014647137150466045,0.0,0.9873417721518988,0.012658227848101266,0.014239098190447939
6,3431,767,755,12,0,0.984354628422425,0.01564537157757497,0.0,0.9864864864864865,0.013513513513513514,0.015447391431069659
7,3490,779,762,17,0,0.9781771501925546,0.021822849807445442,0.0,0.9850209706411025,0.014979029358897543,0.01805157593123209
8,3542,784,774,10,0,0.9872448979591837,0.012755102040816327,0.0,0.9846698113207547,0.015330188679245283,0.017221908526256352
9,3596,794,785,9,0,0.9886649874055415,0.011335012594458438,0.0,0.9838243789716926,0.016175621028307337,0.01696329254727475
10,3652,804,785,19,0,0.9763681592039801,0.0236318407960199,0.0,0.9830220713073005,0.01697792869269949,0.019715224534501644
11,3708,814,797,17,0,0.9791154791154791,0.020884520884520884,0.0,0.9806201550387597,0.01937984496124031,0.019956850053937433
12,3767,829,820,9,0,0.9891435464414958,0.010856453558504222,0.0,0.9816612729234089,0.018338727076591153,0.018582426333952747
13,3810,828,812,16,0,0.9806763285024155,0.01932367149758454,0.0,0.9812533476164971,0.018746652383502947,0.01994750656167979
14,3853,831,818,13,0,0.9843561973525873,0.015643802647412757,0.0,0.9788023317435082,0.021197668256491786,0.019724889696340515
15,3887,835,817,18,0,0.9784431137724551,0.02155688622754491,0.0,0.9779874213836478,0.0220125786163522,0.02032415744790327
16,3925,842,827,15,0,0.982185273159145,0.017814726840855107,0.0,0.9798345398138573,0.02016546018614271,0.020127388535031848
17,3959,847,834,13,0,0.9846517119244392,0.015348288075560802,0.0,0.9790388548057259,0.020961145194274028,0.019701944935589796
18,3987,850,837,13,0,0.9847058823529412,0.015294117647058824,0.0,0.9797160243407708,0.02028397565922921,0.019061951341861047
19,4013,854,841,13,0,0.9847775175644028,0.01522248243559719,0.0,0.9793762575452716,0.02062374245472837,0.01844006977323698
20,4032,856,839,17,0,0.9801401869158879,0.01985981308411215,0.0,0.9795204795204795,0.02047952047952048,0.018601190476190476
21,4056,859,836,23,0,0.9732246798603027,0.02677532013969732,0.0,0.9811320754716981,0.018867924528301886,0.020710059171597635
22,4081,863,852,11,0,0.9872537659327926,0.012746234067207415,0.0,0.9812715623459832,0.018728437654016758,0.018867924528301886
23,4101,865,853,12,0,0.9861271676300578,0.013872832369942197,0.0,0.9818716315531603,0.018128368446839783,0.018288222384784197
