step,population_size,births,newborn_AA,newborn_AS,newborn_SS,prop_newborn_AA,prop_newborn_AS,prop_newborn_SS,prop_repro_AA,prop_repro_AS,prop_AS_population
1,5893,1268,1256,12,0,0.9905362776025236,0.00946372239747634,0.0,0.9905400078833267,0.009459992116673236,0.010351264211776684
2,6546,1165,1157,8,0,0.9931330472103004,0.0068669527896995704,0.0,0.9905400078833267,0.009459992116673236,0.01008249312557287
3,7145,1099,1080,19,0,0.9827115559599636,0.017288444040036398,0.0,0.9905400078833267,0.009459992116673236,0.011616515045486353
4,7692,1037,1024,13,0,0.9874638379942141,0.01253616200578592,0.0,0.9880952380952381,0.011904761904761904,0.012090483619344774
5,8495,1288,1271,17,0,0.9868012422360248,0.013198757763975156,0.0,0.9883756500458856,0.011624349954114408,0.012477928193054738
6,9426,1456,1438,18,0,0.9876373626373627,0.012362637362637362,0.0,0.989058524173028,0.01094147582697201,0.012730744748567792
7,10442,1571,1550,21,0,0.9866327180140039,0.01336728198599618,0.0,0.9872049415398191,0.012795058460180895,0.013120091936410649
8,11508,1644,1621,23,0,0.9860097323600974,0.013990267639902677,0.0,0.9868058290665617,0.013194170933438361,0.013555787278415016
9,12678,1766,1743,23,0,0.9869762174405436,0.013023782559456399,0.0,0.9862755189569394,0.013724481043060559,0.013803439028237892
10,13955,1900,1874,26,0,0.9863157894736843,0.01368421052631579,0.0,0.9860056572874796,0.01399434271252047,0.014116804012898602
11,15326,2030,2007,23,0,0.9886699507389163,0.011330049261083743,0.0,0.9855731739017416,0.014426826098258383,0.01402844838835965
12,16770,2148,2128,19,1,0.9906890130353817,0.008845437616387336,0.0004655493482309125,0.9857977322185316,0.014202267781468332,0.013714967203339297
13,18113,2103,2073,30,0,0.985734664764622,0.014265335235378032,0.0,0.9852571802992246,0.014742819700775364,0.014023077347761276
14,19422,2114,2088,26,0,0.9877010406811731,0.01229895931882687,0.0,0.9845508491917332,0.01544915080826683,0.014004736896303162
15,20698,2160,2125,34,1,0.9837962962962963,0.01574074074074074,0.000462962962962963,0.9853052711414486,0.014694728858551383,0.014397526331046477
16,21938,2230,2197,33,0,0.9852017937219731,0.014798206278026907,0.0,0.9859511343804538,0.014048865619546248,0.01458656212963807
17,23070,2251,2229,22,0,0.9902265659706797,0.009773434029320302,0.0,0.9857378400659522,0.014262159934047815,0.014260944950151712
18,24079,2257,2228,29,0,0.9871510855117412,0.01284891448825875,0.0,0.985792090930618,0.014207909069381956,0.014369367498650277
19,24982,2261,2230,31,0,0.9862892525431225,0.013710747456877488,0.0,0.9854014598540146,0.014598540145985401,0.014450404291089585
20,25809,2273,2234,38,1,0.9828420589529256,0.01671799384073911,0.0004399472063352398,0.9852552816901409,0.014744718309859154,0.014762292223642915
21,26564,2276,2238,38,0,0.9833040421792618,0.016695957820738138,0.0,0.9858110516934047,0.014188948306595365,0.015095618129799728
22,27223,2268,2238,29,1,0.9867724867724867,0.012786596119929453,0.0004409171075837742,0.985821051896347,0.014178948103653,0.015060794181390736
23,27768,2251,2210,41,0,0.9817858729453576,0.01821412705464238,0.0,0.9855232317661657,0.014476768233834276,0.01544943820224719
24,28205,2230,2193,37,0,0.9834080717488789,0.016591928251121078,0.0,0.984464823432795,0.015535176567205038,0.01570643502925013
25,28547,2222,2196,26,0,0.9882988298829883,0.011701170117011701,0.0,0.9840742748712388,0.01592572512876118,0.01562335797106526
