step,population_size,births,newborn_AA,newborn_AS,newborn_SS,prop_newborn_AA,prop_newborn_AS,prop_newborn_SS,prop_repro_AA,prop_repro_AS,prop_AS_population
1,999,253,249,4,0,0.9841897233201581,0.015810276679841896,0.0,0.958498023715415,0.041501976284584984,0.04604604604604605
2,957,255,239,16,0,0.9372549019607843,0.06274509803921569,0.0,0.9529411764705882,0.047058823529411764,0.06165099268547544
3,927,262,253,9,0,0.9656488549618321,0.03435114503816794,0.0,0.9473684210526315,0.05263157894736842,0.06580366774541532
4,867,241,224,16,1,0.9294605809128631,0.06639004149377593,0.004149377593360996,0.9268817204301075,0.07311827956989247,0.07958477508650519
5,815,227,216,10,1,0.9515418502202643,0.04405286343612335,0.004405286343612335,0.9221698113207547,0.07783018867924528,0.08098159509202454
6,760,213,191,21,1,0.8967136150234741,0.09859154929577464,0.004694835680751174,0.9095607235142119,0.09043927648578812,0.09868421052631579
7,715,201,184,17,0,0.9154228855721394,0.0845771144278607,0.0,0.9036827195467422,0.09631728045325778,0.1062937062937063
8,666,188,171,17,0,0.9095744680851063,0.09042553191489362,0.0,0.8881987577639752,0.11180124223602485,0.11561561561561562
9,618,173,154,19,0,0.8901734104046243,0.10982658959537572,0.0,0.8823529411764706,0.11764705882352941,0.12944983818770225
10,579,162,143,19,0,0.8827160493827161,0.11728395061728394,0.0,0.8587786259541985,0.14122137404580154,0.14507772020725387
11,535,150,125,23,2,0.8333333333333334,0.15333333333333332,0.013333333333333334,0.8312236286919831,0.16877637130801687,0.16635514018691588
12,513,151,121,30,0,0.8013245033112583,0.1986754966887417,0.0,0.8275862068965517,0.1724137931034483,0.1968810916179337
13,490,147,122,24,1,0.8299319727891157,0.16326530612244897,0.006802721088435374,0.8063063063063063,0.19369369369369369,0.20816326530612245
14,466,142,113,28,1,0.795774647887324,0.19718309859154928,0.007042253521126761,0.7914691943127962,0.20853080568720378,0.2317596566523605
15,442,134,105,25,4,0.7835820895522388,0.1865671641791045,0.029850746268656716,0.7715736040609137,0.22842639593908629,0.248868778280543
16,431,134,102,31,1,0.7611940298507462,0.23134328358208955,0.007462686567164179,0.7357512953367875,0.26424870466321243,0.27610208816705334
17,418,130,96,32,2,0.7384615384615385,0.24615384615384617,0.015384615384615385,0.7150537634408602,0.2849462365591398,0.3014354066985646
18,410,128,86,40,2,0.671875,0.3125,0.015625,0.6850828729281768,0.3149171270718232,0.34146341463414637
19,403,123,87,33,3,0.7073170731707317,0.2682926829268293,0.024390243902439025,0.6551724137931034,0.3448275862068966,0.3573200992555831
20,395,121,71,43,7,0.5867768595041323,0.35537190082644626,0.05785123966942149,0.611764705882353,0.38823529411764707,0.4050632911392405
21,402,123,82,37,4,0.6666666666666666,0.3008130081300813,0.032520325203252036,0.5789473684210527,0.42105263157894735,0.41044776119402987
22,405,127,76,45,6,0.5984251968503937,0.3543307086614173,0.047244094488188976,0.5449438202247191,0.4550561797752809,0.4444444444444444
23,411,130,75,49,6,0.5769230769230769,0.3769230769230769,0.046153846153846156,0.521978021978022,0.47802197802197804,0.4720194647201946
24,413,129,68,51,10,0.5271317829457365,0.3953488372093023,0.07751937984496124,0.4945054945054945,0.5054945054945055,0.5036319612590799
25,421,130,64,57,9,0.49230769230769234,0.43846153846153846,0.06923076923076923,0.47282608695652173,0.5271739130434783,0.5368171021377672
26,436,131,61,67,3,0.46564885496183206,0.5114503816793893,0.022900763358778626,0.44623655913978494,0.553763440860215,0.573394495412844
27,441,134,75,47,12,0.5597014925373134,0.35074626865671643,0.08955223880597014,0.4114583333333333,0.5885416666666666,0.562358276643991
28,442,134,53,68,13,0.39552238805970147,0.5074626865671642,0.09701492537313433,0.37823834196891193,0.6217616580310881,0.6199095022624435
29,450,137,59,63,15,0.4306569343065693,0.45985401459854014,0.10948905109489052,0.34517766497461927,0.6548223350253807,0.6266666666666667
