step,population_size,births,newborn_AA,newborn_AS,newborn_SS,prop_newborn_AA,prop_newborn_AS,prop_newborn_SS,prop_repro_AA,prop_repro_AS,prop_AS_population
1,1014,258,57,139,62,0.22093023255813954,0.5387596899224806,0.24031007751937986,0.0,1.0,0.9437869822485208
2,1014,256,60,134,62,0.234375,0.5234375,0.2421875,0.0,1.0,0.9142011834319527
3,1028,257,48,158,51,0.1867704280155642,0.6147859922178989,0.19844357976653695,0.0,1.0,0.9007782101167315
4,1017,256,56,129,71,0.21875,0.50390625,0.27734375,0.0,1.0,0.872173058013766
5,1031,259,69,133,57,0.26640926640926643,0.5135135135135135,0.22007722007722008,0.045889101338432124,0.9541108986615678,0.8399612027158099
6,1037,259,85,118,56,0.3281853281853282,0.4555984555984556,0.21621621621621623,0.09125475285171103,0.908745247148289,0.8003857280617165
7,1051,262,86,127,49,0.3282442748091603,0.4847328244274809,0.18702290076335878,0.1198501872659176,0.8801498127340824,0.7716460513796385
8,1064,259,82,134,43,0.3166023166023166,0.5173745173745173,0.16602316602316602,0.15601503759398497,0.8439849624060151,0.7509398496240601
9,1076,260,93,126,41,0.3576923076923077,0.4846153846153846,0.1576923076923077,0.19402985074626866,0.8059701492537313,0.7211895910780669
10,1086,259,83,136,40,0.3204633204633205,0.525096525096525,0.15444015444015444,0.241635687732342,0.758364312267658,0.7090239410681399
11,1107,261,102,126,33,0.39080459770114945,0.4827586206896552,0.12643678160919541,0.27941176470588236,0.7205882352941176,0.6811201445347786
12,1127,262,122,112,28,0.46564885496183206,0.42748091603053434,0.10687022900763359,0.3074141048824593,0.6925858951175407,0.6459627329192547
13,1141,263,121,113,29,0.4600760456273764,0.4296577946768061,0.11026615969581749,0.3267857142857143,0.6732142857142858,0.6231375985977213
14,1146,265,120,108,37,0.4528301886792453,0.4075471698113208,0.13962264150943396,0.33274647887323944,0.6672535211267606,0.6020942408376964
15,1170,268,127,116,25,0.47388059701492535,0.43283582089552236,0.09328358208955224,0.3559027777777778,0.6440972222222222,0.5837606837606838
16,1183,272,118,125,29,0.4338235294117647,0.45955882352941174,0.10661764705882353,0.38305084745762713,0.6169491525423729,0.577345731191885
17,1209,274,133,124,17,0.4854014598540146,0.45255474452554745,0.06204379562043796,0.40301003344481606,0.596989966555184,0.5616211745244003
18,1218,273,138,110,25,0.5054945054945055,0.40293040293040294,0.09157509157509157,0.420265780730897,0.579734219269103,0.5443349753694581
19,1230,275,157,92,26,0.5709090909090909,0.33454545454545453,0.09454545454545454,0.4369885433715221,0.563011456628478,0.516260162601626
20,1247,278,147,108,23,0.5287769784172662,0.38848920863309355,0.08273381294964029,0.44749596122778673,0.5525040387722132,0.5084202085004009
21,1265,281,156,105,20,0.5551601423487544,0.3736654804270463,0.0711743772241993,0.4572784810126582,0.5427215189873418,0.4932806324110672
22,1272,282,150,104,28,0.5319148936170213,0.36879432624113473,0.09929078014184398,0.47648902821316613,0.5235109717868338,0.48427672955974843
23,1296,283,169,101,13,0.5971731448763251,0.3568904593639576,0.045936395759717315,0.5015527950310559,0.4984472049689441,0.4675925925925926
24,1300,283,164,97,22,0.5795053003533569,0.34275618374558303,0.07773851590106007,0.5092307692307693,0.4907692307692308,0.45692307692307693
25,1312,286,159,110,17,0.5559440559440559,0.38461538461538464,0.05944055944055944,0.5205479452054794,0.4794520547945205,0.4535060975609756
26,1323,285,149,122,14,0.5228070175438596,0.4280701754385965,0.04912280701754386,0.5280728376327769,0.47192716236722304,0.4580498866213152
27,1331,287,164,104,19,0.5714285714285714,0.3623693379790941,0.06620209059233449,0.5435435435435435,0.45645645645645644,0.44552967693463563
28,1344,287,173,100,14,0.6027874564459931,0.34843205574912894,0.04878048780487805,0.5582089552238806,0.4417910447761194,0.43526785714285715
29,1357,289,164,111,14,0.5674740484429066,0.38408304498269896,0.04844290657439446,0.5612998522895125,0.43870014771048743,0.4369933677229182
30,1369,291,187,93,11,0.6426116838487973,0.31958762886597936,0.037800687285223365,0.5531295487627366,0.4468704512372635,0.42074506939371803
31,1377,292,172,109,11,0.589041095890411,0.3732876712328767,0.03767123287671233,0.5549132947976878,0.44508670520231214,0.4241103848946986
32,1379,292,169,103,20,0.5787671232876712,0.3527397260273973,0.0684931506849315,0.5611510791366906,0.43884892086330934,0.4213197969543147
33,1394,295,171,111,13,0.5796610169491525,0.376271186440678,0.04406779661016949,0.5612535612535613,0.43874643874643876,0.42252510760401724
34,1407,297,192,94,11,0.6464646464646465,0.3164983164983165,0.037037037037037035,0.5738396624472574,0.42616033755274263,0.40867093105899077
35,1412,297,202,84,11,0.6801346801346801,0.2828282828282828,0.037037037037037035,0.572829131652661,0.4271708683473389,0.3951841359773371
36,1417,296,186,100,10,0.6283783783783784,0.33783783783783783,0.033783783783783786,0.573632538569425,0.426367461430575,0.3959068454481299
37,1414,296,193,85,18,0.652027027027027,0.28716216216216217,0.060810810810810814,0.5748251748251748,0.4251748251748252,0.38472418670438474
38,1422,298,183,100,15,0.6140939597315436,0.33557046979865773,0.050335570469798654,0.5888888888888889,0.4111111111111111,0.3860759493670886
39,1431,299,183,105,11,0.6120401337792643,0.3511705685618729,0.03678929765886288,0.6049723756906077,0.39502762430939226,0.3864430468204053
40,1440,299,205,87,7,0.68561872909699,0.2909698996655518,0.023411371237458192,0.6074380165289256,0.3925619834710744,0.3729166666666667
41,1435,298,194,88,16,0.6510067114093959,0.2953020134228188,0.053691275167785234,0.6184573002754821,0.38154269972451793,0.3693379790940767
42,1438,299,184,101,14,0.6153846153846154,0.3377926421404682,0.046822742474916385,0.6167582417582418,0.38324175824175827,0.37273991655076494
43,1446,300,198,90,12,0.66,0.3,0.04,0.6161202185792349,0.383879781420765,0.3651452282157676
44,1449,301,200,91,10,0.6644518272425249,0.3023255813953488,0.03322259136212625,0.6268656716417911,0.373134328358209,0.3609385783298827
45,1452,300,199,93,8,0.6633333333333333,0.31,0.02666666666666667,0.6353741496598639,0.36462585034013606,0.36019283746556474
46,1456,299,202,89,8,0.6755852842809364,0.2976588628762542,0.026755852842809364,0.6280653950953679,0.37193460490463215,0.3550824175824176
47,1455,299,190,97,12,0.6354515050167224,0.32441471571906355,0.04013377926421405,0.6285714285714286,0.37142857142857144,0.35945017182130584
48,1458,300,200,90,10,0.6666666666666666,0.3,0.03333333333333333,0.6331521739130435,0.36684782608695654,0.355281207133059
49,1464,301,193,100,8,0.6411960132890365,0.33222591362126247,0.026578073089700997,0.6324324324324324,0.3675675675675676,0.3599726775956284
50,1465,302,220,70,12,0.7284768211920529,0.23178807947019867,0.039735099337748346,0.6379542395693136,0.3620457604306864,0.34197952218430033
51,1465,303,207,85,11,0.6831683168316832,0.28052805280528054,0.036303630363036306,0.6380697050938338,0.36193029490616624,0.34266211604095564
52,1466,301,204,86,11,0.6777408637873754,0.2857142857142857,0.036544850498338874,0.6379542395693136,0.3620457604306864,0.3403819918144611
53,1470,303,191,102,10,0.6303630363036303,0.33663366336633666,0.033003300330033,0.6345381526104418,0.3654618473895582,0.34829931972789113
54,1477,303,199,95,9,0.6567656765676567,0.31353135313531355,0.0297029702970297,0.6524064171122995,0.34759358288770054,0.34664861205145564
55,1483,303,201,94,8,0.6633663366336634,0.3102310231023102,0.026402640264026403,0.656,0.344,0.3452461227242077
56,1485,302,200,96,6,0.6622516556291391,0.31788079470198677,0.019867549668874173,0.6586666666666666,0.3413333333333333,0.3468013468013468
57,1484,302,213,81,8,0.7052980132450332,0.2682119205298013,0.026490066225165563,0.652,0.348,0.3389487870619946
58,1483,302,217,76,9,0.7185430463576159,0.25165562913907286,0.029801324503311258,0.6488651535380507,0.35113484646194926,0.3317599460552933
59,1485,303,219,76,8,0.7227722772277227,0.2508250825082508,0.026402640264026403,0.649402390438247,0.350597609561753,0.32592592592592595
60,1484,304,200,94,10,0.6578947368421053,0.3092105263157895,0.03289473684210526,0.6455026455026455,0.3544973544973545,0.3328840970350404
61,1487,304,208,85,11,0.6842105263157895,0.27960526315789475,0.03618421052631579,0.6543046357615894,0.3456953642384106,0.3288500336247478
62,1487,305,213,81,11,0.6983606557377049,0.26557377049180325,0.036065573770491806,0.658311345646438,0.341688654353562,0.324142568930733
63,1493,304,206,94,4,0.6776315789473685,0.3092105263157895,0.013157894736842105,0.667107001321004,0.332892998678996,0.32886805090421967
64,1495,304,222,76,6,0.7302631578947368,0.25,0.019736842105263157,0.662269129287599,0.33773087071240104,0.3197324414715719
