step,population_size,births,newborn_AA,newborn_AS,newborn_SS,prop_newborn_AA,prop_newborn_AS,prop_newborn_SS,prop_repro_AA,prop_repro_AS,prop_AS_population
1,1063,256,247,8,1,0.96484375,0.03125,0.00390625,0.9571150097465887,0.042884990253411304,0.04797742238946378
2,1088,251,239,12,0,0.952191235059761,0.04780876494023904,0.0,0.9517374517374517,0.04826254826254826,0.05422794117647059
3,1111,250,239,11,0,0.956,0.044,0.0,0.946360153256705,0.05363984674329502,0.05850585058505851
4,1125,246,222,24,0,0.9024390243902439,0.0975609756097561,0.0,0.9325626204238922,0.0674373795761079,0.07022222222222223
5,1149,255,240,15,0,0.9411764705882353,0.058823529411764705,0.0,0.933456561922366,0.066543438077634,0.06788511749347259
6,1170,259,246,13,0,0.9498069498069498,0.05019305019305019,0.0,0.935251798561151,0.06474820143884892,0.06752136752136752
7,1188,263,250,13,0,0.9505703422053232,0.049429657794676805,0.0,0.9352014010507881,0.0647985989492119,0.06565656565656566
8,1204,265,253,12,0,0.9547169811320755,0.045283018867924525,0.0,0.9275862068965517,0.07241379310344828,0.06312292358803986
9,1219,268,248,19,1,0.9253731343283582,0.0708955223880597,0.0037313432835820895,0.9288135593220339,0.0711864406779661,0.06726825266611977
10,1237,271,248,23,0,0.915129151291513,0.08487084870848709,0.0,0.930116472545757,0.06988352745424292,0.07275666936135812
11,1254,274,260,12,2,0.948905109489051,0.043795620437956206,0.0072992700729927005,0.9298531810766721,0.0701468189233279,0.06698564593301436
12,1276,280,266,13,1,0.95,0.04642857142857143,0.0035714285714285713,0.9333333333333333,0.06666666666666667,0.06504702194357367
13,1290,279,261,18,0,0.9354838709677419,0.06451612903225806,0.0,0.9308176100628931,0.06918238993710692,0.06666666666666667
14,1305,280,258,22,0,0.9214285714285714,0.07857142857142857,0.0,0.926791277258567,0.07320872274143302,0.06896551724137931
15,1318,281,259,21,1,0.9217081850533808,0.07473309608540925,0.0035587188612099642,0.9320987654320988,0.06790123456790123,0.07207890743550835
16,1332,284,270,14,0,0.9507042253521126,0.04929577464788732,0.0,0.9347496206373292,0.06525037936267071,0.06831831831831832
17,1341,286,261,24,1,0.9125874125874126,0.08391608391608392,0.0034965034965034965,0.9324324324324325,0.06756756756756757,0.07307979120059657
18,1347,286,260,24,2,0.9090909090909091,0.08391608391608392,0.006993006993006993,0.9298507462686567,0.07014925373134329,0.07498144023756496
19,1355,287,268,19,0,0.9337979094076655,0.06620209059233449,0.0,0.9272997032640949,0.07270029673590504,0.07380073800738007
20,1363,287,268,19,0,0.9337979094076655,0.06620209059233449,0.0,0.9304733727810651,0.0695266272189349,0.07410124724871607
21,1373,289,262,27,0,0.9065743944636678,0.09342560553633218,0.0,0.9254385964912281,0.07456140350877193,0.07938820101966497
22,1380,290,265,24,1,0.9137931034482759,0.08275862068965517,0.0034482758620689655,0.9230769230769231,0.07692307692307693,0.08043478260869565
23,1386,291,267,24,0,0.9175257731958762,0.08247422680412371,0.0,0.9219653179190751,0.07803468208092486,0.08297258297258298
24,1393,291,275,16,0,0.9450171821305842,0.054982817869415807,0.0,0.920749279538905,0.0792507204610951,0.07896625987078248
25,1398,293,265,27,1,0.9044368600682594,0.09215017064846416,0.0034129692832764505,0.9142857142857143,0.08571428571428572,0.0844062947067239
26,1402,293,271,22,0,0.9249146757679181,0.07508532423208192,0.0,0.9132290184921764,0.08677098150782361,0.08345221112696148
27,1405,294,260,33,1,0.8843537414965986,0.11224489795918367,0.003401360544217687,0.9093484419263456,0.0906515580736544,0.09252669039145907
28,1411,293,273,20,0,0.931740614334471,0.06825938566552901,0.0,0.9120567375886525,0.08794326241134752,0.08788093550673282
29,1413,294,262,32,0,0.891156462585034,0.10884353741496598,0.0,0.9096045197740112,0.0903954802259887,0.09483368719037509
30,1414,294,265,25,4,0.9013605442176871,0.08503401360544217,0.013605442176870748,0.9111424541607899,0.08885754583921016,0.09405940594059406
31,1418,295,273,21,1,0.9254237288135593,0.0711864406779661,0.003389830508474576,0.9030898876404494,0.09691011235955056,0.09167842031029619
32,1421,295,266,28,1,0.9016949152542373,0.09491525423728814,0.003389830508474576,0.9033613445378151,0.09663865546218488,0.0964109781843772
33,1427,296,267,29,0,0.902027027027027,0.09797297297297297,0.0,0.8994413407821229,0.1005586592178771,0.09880868955851436
34,1432,295,270,25,0,0.9152542372881356,0.0847457627118644,0.0,0.898186889818689,0.10181311018131102,0.09916201117318436
35,1434,296,264,32,0,0.8918918918918919,0.10810810810810811,0.0,0.9,0.1,0.10460251046025104
36,1439,297,259,38,0,0.8720538720538721,0.12794612794612795,0.0,0.8947368421052632,0.10526315789473684,0.11188325225851285
37,1440,297,271,25,1,0.9124579124579124,0.08417508417508418,0.003367003367003367,0.893646408839779,0.106353591160221,0.1076388888888889
38,1443,297,265,32,0,0.8922558922558923,0.10774410774410774,0.0,0.8910344827586207,0.10896551724137932,0.11157311157311157
39,1447,297,261,36,0,0.8787878787878788,0.12121212121212122,0.0,0.8910344827586207,0.10896551724137932,0.11748445058742225
40,1448,298,265,32,1,0.889261744966443,0.10738255033557047,0.003355704697986577,0.8794520547945206,0.12054794520547946,0.1180939226519337
41,1450,297,261,35,1,0.8787878787878788,0.11784511784511785,0.003367003367003367,0.8832417582417582,0.11675824175824176,0.12206896551724138
42,1450,298,263,33,2,0.8825503355704698,0.11073825503355705,0.006711409395973154,0.8808219178082192,0.11917808219178082,0.12206896551724138
