step,population_size,births,newborn_AA,newborn_AS,newborn_SS,prop_newborn_AA,prop_newborn_AS,prop_newborn_SS,prop_repro_AA,prop_repro_AS,prop_AS_population
1,1061,255,245,10,0,0.9607843137254902,0.0392156862745098,0.0,0.9568627450980393,0.043137254901960784,0.04995287464655985
2,1085,250,242,8,0,0.968,0.032,0.0,0.9514563106796117,0.04854368932038835,0.05161290322580645
3,1106,248,233,15,0,0.9395161290322581,0.06048387096774194,0.0,0.9459459459459459,0.05405405405405406,0.06148282097649186
4,1121,245,233,11,1,0.9510204081632653,0.044897959183673466,0.004081632653061225,0.9323017408123792,0.06769825918762089,0.06155218554861731
5,1142,254,236,17,1,0.9291338582677166,0.06692913385826772,0.003937007874015748,0.9313543599257885,0.0686456400742115,0.0647985989492119
6,1164,259,244,15,0,0.9420849420849421,0.05791505791505792,0.0,0.9351351351351351,0.06486486486486487,0.06529209621993128
7,1182,262,238,24,0,0.9083969465648855,0.0916030534351145,0.0,0.9329805996472663,0.06701940035273368,0.0727580372250423
8,1200,264,247,17,0,0.9356060606060606,0.06439393939393939,0.0,0.9356521739130435,0.06434782608695652,0.07083333333333333
9,1217,267,251,15,1,0.9400749063670412,0.056179775280898875,0.003745318352059925,0.9335604770017035,0.06643952299829642,0.06984387838948233
10,1233,270,252,16,2,0.9333333333333333,0.05925925925925926,0.007407407407407408,0.9332220367278798,0.0667779632721202,0.0689375506893755
11,1251,274,255,19,0,0.9306569343065694,0.06934306569343066,0.0,0.9279869067103109,0.07201309328968904,0.07114308553157474
12,1270,279,259,19,1,0.9283154121863799,0.06810035842293907,0.0035842293906810036,0.9267515923566879,0.0732484076433121,0.07165354330708662
13,1283,278,260,16,2,0.935251798561151,0.05755395683453238,0.007194244604316547,0.9272151898734177,0.07278481012658228,0.06936866718628215
14,1300,279,250,29,0,0.8960573476702509,0.1039426523297491,0.0,0.9292452830188679,0.07075471698113207,0.07846153846153846
15,1314,281,259,22,0,0.9217081850533808,0.07829181494661921,0.0,0.9272445820433437,0.07275541795665634,0.0776255707762557
16,1327,283,264,19,0,0.9328621908127208,0.06713780918727916,0.0,0.9267175572519084,0.0732824427480916,0.07686510926902788
17,1336,284,263,21,0,0.926056338028169,0.07394366197183098,0.0,0.9287878787878788,0.07121212121212121,0.07784431137724551
18,1346,285,259,26,0,0.9087719298245615,0.0912280701754386,0.0,0.9204204204204204,0.07957957957957958,0.0824665676077266
19,1357,287,274,13,0,0.9547038327526133,0.04529616724738676,0.0,0.9197622585438335,0.08023774145616643,0.07516580692704496
20,1365,289,263,25,1,0.9100346020761245,0.08650519031141868,0.0034602076124567475,0.9191176470588235,0.08088235294117647,0.08058608058608059
21,1372,289,259,30,0,0.8961937716262975,0.10380622837370242,0.0,0.9181286549707602,0.08187134502923976,0.08527696793002916
22,1380,291,264,26,1,0.9072164948453608,0.08934707903780069,0.003436426116838488,0.9130434782608695,0.08695652173913043,0.08623188405797101
23,1388,291,263,27,1,0.9037800687285223,0.09278350515463918,0.003436426116838488,0.9190751445086706,0.08092485549132948,0.09005763688760807
24,1394,291,265,26,0,0.9106529209621993,0.08934707903780069,0.0,0.9136690647482014,0.08633093525179857,0.09110473457675754
25,1398,292,268,23,1,0.9178082191780822,0.07876712328767123,0.003424657534246575,0.9071428571428571,0.09285714285714286,0.09084406294706723
26,1404,293,265,28,0,0.9044368600682594,0.09556313993174062,0.0,0.9102564102564102,0.08974358974358974,0.09472934472934473
27,1410,293,275,18,0,0.9385665529010239,0.06143344709897611,0.0,0.90625,0.09375,0.08936170212765958
28,1413,295,264,31,0,0.8949152542372881,0.10508474576271186,0.0,0.9014084507042254,0.09859154929577464,0.09624911535739561
29,1419,295,257,38,0,0.8711864406779661,0.1288135593220339,0.0,0.9002808988764045,0.0997191011235955,0.10500352360817478
30,1425,295,262,33,0,0.888135593220339,0.11186440677966102,0.0,0.8977591036414566,0.10224089635854341,0.1080701754385965
31,1429,295,259,36,0,0.8779661016949153,0.12203389830508475,0.0,0.8993006993006993,0.1006993006993007,0.11336599020293912
32,1433,296,261,34,1,0.8817567567567568,0.11486486486486487,0.0033783783783783786,0.894297635605007,0.10570236439499305,0.11584089323098395
33,1437,296,265,31,0,0.8952702702702703,0.10472972972972973,0.0,0.8888888888888888,0.1111111111111111,0.116214335421016
34,1437,296,263,32,1,0.8885135135135135,0.10810810810810811,0.0033783783783783786,0.8850415512465374,0.1149584487534626,0.11760612386917188
35,1437,297,259,34,4,0.8720538720538721,0.11447811447811448,0.013468013468013467,0.8798342541436464,0.12016574585635359,0.12108559498956159
36,1439,298,261,34,3,0.8758389261744967,0.11409395973154363,0.010067114093959731,0.8774104683195593,0.12258953168044077,0.12230715774843641
37,1446,298,262,36,0,0.8791946308724832,0.12080536912751678,0.0,0.8736263736263736,0.12637362637362637,0.1251728907330567
38,1450,299,257,42,0,0.8595317725752508,0.14046822742474915,0.0,0.8714090287277702,0.12859097127222982,0.1317241379310345
39,1458,300,269,31,0,0.8966666666666666,0.10333333333333333,0.0,0.8637602179836512,0.1362397820163488,0.12962962962962962
40,1461,299,256,43,0,0.8561872909698997,0.14381270903010032,0.0,0.8637602179836512,0.1362397820163488,0.13894592744695414
41,1468,299,255,44,0,0.8528428093645485,0.14715719063545152,0.0,0.8614130434782609,0.13858695652173914,0.14509536784741145
42,1471,300,254,45,1,0.8466666666666667,0.15,0.0033333333333333335,0.8554054054054054,0.1445945945945946,0.150237933378654
43,1470,300,264,34,2,0.88,0.11333333333333333,0.006666666666666667,0.8569500674763832,0.14304993252361672,0.14625850340136054
44,1470,300,251,46,3,0.8366666666666667,0.15333333333333332,0.01,0.8517520215633423,0.14824797843665768,0.15374149659863945
45,1469,301,255,42,4,0.8471760797342193,0.13953488372093023,0.013289036544850499,0.8467741935483871,0.1532258064516129,0.15384615384615385
46,1468,301,254,43,4,0.8438538205980066,0.14285714285714285,0.013289036544850499,0.8413978494623656,0.1586021505376344,0.1553133514986376
47,1471,301,265,36,0,0.8803986710963455,0.11960132890365449,0.0,0.8463611859838275,0.15363881401617252,0.15159755268524813
48,1469,300,265,33,2,0.8833333333333333,0.11,0.006666666666666667,0.8421052631578947,0.15789473684210525,0.1484002722940776
49,1467,300,248,50,2,0.8266666666666667,0.16666666666666666,0.006666666666666667,0.8407557354925776,0.1592442645074224,0.1574642126789366
50,1468,300,260,39,1,0.8666666666666667,0.13,0.0033333333333333335,0.8380566801619433,0.16194331983805668,0.15326975476839236
51,1467,299,254,44,1,0.8494983277591973,0.14715719063545152,0.0033444816053511705,0.8416779431664412,0.15832205683355885,0.15610088616223586
52,1466,300,263,35,2,0.8766666666666667,0.11666666666666667,0.006666666666666667,0.8470906630581867,0.15290933694181327,0.15075034106412005
53,1465,300,258,40,2,0.86,0.13333333333333333,0.006666666666666667,0.8407557354925776,0.1592442645074224,0.1515358361774744
54,1465,301,262,36,3,0.8704318936877077,0.11960132890365449,0.009966777408637873,0.8434547908232118,0.15654520917678813,0.14880546075085324
55,1466,300,263,37,0,0.8766666666666667,0.12333333333333334,0.0,0.8403247631935047,0.15967523680649526,0.1480218281036835
56,1467,300,266,34,0,0.8866666666666667,0.11333333333333333,0.0,0.8443843031123139,0.15561569688768606,0.14519427402862986
57,1464,300,249,47,4,0.83,0.15666666666666668,0.013333333333333334,0.8434547908232118,0.15654520917678813,0.15163934426229508
58,1469,301,253,47,1,0.840531561461794,0.15614617940199335,0.0033222591362126247,0.8463611859838275,0.15363881401617252,0.15452688904016337
59,1468,300,254,44,2,0.8466666666666667,0.14666666666666667,0.006666666666666667,0.8475033738191633,0.1524966261808367,0.1553133514986376
60,1467,299,249,50,0,0.8327759197324415,0.16722408026755853,0.0,0.8525033829499323,0.14749661705006767,0.1608725289706885
61,1469,299,254,45,0,0.8494983277591973,0.1505016722408027,0.0,0.8507462686567164,0.14925373134328357,0.16133424098025867
62,1469,299,247,48,4,0.8260869565217391,0.1605351170568562,0.013377926421404682,0.8443843031123139,0.15561569688768606,0.16678012253233493
63,1471,301,250,48,3,0.8305647840531561,0.15946843853820597,0.009966777408637873,0.8398384925975774,0.1601615074024226,0.16927260367097213
64,1476,301,254,47,0,0.8438538205980066,0.15614617940199335,0.0,0.8308724832214766,0.1691275167785235,0.17005420054200543
65,1477,302,249,50,3,0.8245033112582781,0.16556291390728478,0.009933774834437087,0.8273092369477911,0.17269076305220885,0.17400135409614081
66,1479,302,257,44,1,0.8509933774834437,0.1456953642384106,0.0033112582781456954,0.8232931726907631,0.17670682730923695,0.1724137931034483
67,1477,301,246,53,2,0.8172757475083057,0.1760797342192691,0.006644518272425249,0.8201342281879195,0.17986577181208055,0.1780636425186188
68,1474,301,250,47,4,0.8305647840531561,0.15614617940199335,0.013289036544850499,0.8187919463087249,0.18120805369127516,0.17706919945725916
