step,population_size,births,newborn_AA,newborn_AS,newborn_SS,prop_newborn_AA,prop_newborn_AS,prop_newborn_SS,prop_repro_AA,prop_repro_AS,prop_AS_population
1,1095,263,249,14,0,0.9467680608365019,0.053231939163498096,0.0,0.9562737642585551,0.043726235741444866,0.052968036529680365
2,1136,252,242,10,0,0.9603174603174603,0.03968253968253968,0.0,0.9526515151515151,0.04734848484848485,0.05457746478873239
3,1173,248,236,12,0,0.9516129032258065,0.04838709677419355,0.0,0.9490566037735849,0.0509433962264151,0.057971014492753624
4,1207,243,227,16,0,0.934156378600823,0.06584362139917696,0.0,0.9357277882797732,0.06427221172022685,0.06462303231151616
5,1256,260,248,12,0,0.9538461538461539,0.046153846153846156,0.0,0.9320557491289199,0.06794425087108014,0.06369426751592357
6,1304,270,250,20,0,0.9259259259259259,0.07407407407407407,0.0,0.9327868852459016,0.06721311475409836,0.06901840490797546
7,1354,279,260,19,0,0.931899641577061,0.06810035842293907,0.0,0.9315707620528771,0.06842923794712286,0.07090103397341212
8,1400,284,260,24,0,0.9154929577464789,0.08450704225352113,0.0,0.9296407185628742,0.07035928143712575,0.075
9,1446,291,263,28,0,0.9037800687285223,0.09621993127147767,0.0,0.9313304721030042,0.06866952789699571,0.07952973720608575
10,1492,299,278,21,0,0.9297658862876255,0.07023411371237458,0.0,0.9288645690834473,0.07113543091655267,0.0777479892761394
11,1536,306,277,28,1,0.9052287581699346,0.0915032679738562,0.0032679738562091504,0.9291338582677166,0.07086614173228346,0.08138020833333333
12,1585,314,291,23,0,0.9267515923566879,0.0732484076433121,0.0,0.9271356783919598,0.0728643216080402,0.07949526813880126
13,1625,313,291,22,0,0.9297124600638977,0.07028753993610223,0.0,0.9209876543209876,0.07901234567901234,0.08
14,1662,316,293,23,0,0.9272151898734177,0.07278481012658228,0.0,0.9191797346200241,0.08082026537997587,0.08002406738868832
15,1697,320,288,31,1,0.9,0.096875,0.003125,0.9142185663924794,0.08578143360752057,0.08485562757807896
16,1733,326,302,23,1,0.9263803680981595,0.0705521472392638,0.003067484662576687,0.9134396355353075,0.08656036446469248,0.0830929024812464
17,1761,328,303,24,1,0.9237804878048781,0.07317073170731707,0.003048780487804878,0.9130434782608695,0.08695652173913043,0.08347529812606473
18,1790,331,300,31,0,0.9063444108761329,0.09365558912386707,0.0,0.9136612021857924,0.08633879781420765,0.08715083798882682
19,1815,334,306,27,1,0.9161676646706587,0.08083832335329341,0.0029940119760479044,0.907626208378088,0.09237379162191192,0.08705234159779614
20,1840,336,309,26,1,0.9196428571428571,0.07738095238095238,0.002976190476190476,0.908994708994709,0.091005291005291,0.0875
21,1859,336,312,24,0,0.9285714285714286,0.07142857142857142,0.0,0.9130890052356021,0.08691099476439791,0.08606777837547068
22,1880,339,306,33,0,0.9026548672566371,0.09734513274336283,0.0,0.9081527347781218,0.09184726522187822,0.09042553191489362
23,1896,340,321,18,1,0.9441176470588235,0.052941176470588235,0.0029411764705882353,0.9101123595505618,0.0898876404494382,0.08386075949367089
24,1911,341,316,25,0,0.9266862170087976,0.07331378299120235,0.0,0.9098277608915907,0.09017223910840932,0.0847723704866562
25,1924,342,307,34,1,0.8976608187134503,0.09941520467836257,0.0029239766081871343,0.9105527638190954,0.08944723618090453,0.0893970893970894
26,1936,343,302,41,0,0.880466472303207,0.119533527696793,0.0,0.9053784860557769,0.0946215139442231,0.09504132231404959
27,1944,343,311,31,1,0.9067055393586005,0.09037900874635568,0.0029154518950437317,0.913604766633565,0.08639523336643495,0.09465020576131687
28,1950,344,315,27,2,0.9156976744186046,0.07848837209302326,0.005813953488372093,0.9131293188548865,0.08687068114511352,0.09333333333333334
29,1959,346,316,29,1,0.9132947976878613,0.0838150289017341,0.002890173410404624,0.907843137254902,0.09215686274509804,0.09392547217968351
30,1966,346,308,38,0,0.8901734104046243,0.10982658959537572,0.0,0.9032258064516129,0.0967741935483871,0.09918616480162767
31,1973,346,322,24,0,0.930635838150289,0.06936416184971098,0.0,0.9006815968841285,0.09931840311587146,0.09477952356817029
32,1977,346,312,33,1,0.9017341040462428,0.0953757225433526,0.002890173410404624,0.901846452866861,0.09815354713313897,0.09762266059686393
33,1984,347,310,36,1,0.8933717579250721,0.1037463976945245,0.002881844380403458,0.9001937984496124,0.0998062015503876,0.10080645161290322
34,1992,348,314,33,1,0.9022988505747126,0.09482758620689655,0.0028735632183908046,0.896817743490839,0.10318225650916105,0.10140562248995984
35,1994,347,307,37,3,0.8847262247838616,0.10662824207492795,0.008645533141210375,0.8970163618864293,0.10298363811357074,0.10431293881644935
36,1998,348,311,36,1,0.8936781609195402,0.10344827586206896,0.0028735632183908046,0.8943323727185398,0.10566762728146013,0.1061061061061061
37,2004,349,324,24,1,0.9283667621776505,0.06876790830945559,0.0028653295128939827,0.8928229665071771,0.10717703349282297,0.10179640718562874
38,2005,349,312,35,2,0.8939828080229226,0.10028653295128939,0.0057306590257879654,0.8932316491897044,0.10676835081029552,0.1057356608478803
39,2008,349,318,30,1,0.9111747851002865,0.08595988538681948,0.0028653295128939827,0.8912213740458015,0.10877862595419847,0.10408366533864542
