step,population_size,births,newborn_AA,newborn_AS,newborn_SS,prop_newborn_AA,prop_newborn_AS,prop_newborn_SS,prop_repro_AA,prop_repro_AS,prop_AS_population
1,974,251,240,11,0,0.9561752988047809,0.043824701195219126,0.0,0.9581673306772909,0.04183266932270916,0.054414784394250515
2,916,256,250,6,0,0.9765625,0.0234375,0.0,0.9525691699604744,0.04743083003952569,0.05786026200873363
3,863,266,249,16,1,0.9360902255639098,0.06015037593984962,0.0037593984962406013,0.9470588235294117,0.052941176470588235,0.07647740440324449
4,781,240,221,18,1,0.9208333333333333,0.075,0.004166666666666667,0.9241071428571429,0.07589285714285714,0.09346991037131883
5,704,218,197,19,2,0.9036697247706422,0.0871559633027523,0.009174311926605505,0.9048843187660668,0.09511568123393316,0.109375
6,633,194,171,23,0,0.8814432989690721,0.11855670103092783,0.0,0.8972809667673716,0.1027190332326284,0.13270142180094788
7,567,173,148,25,0,0.8554913294797688,0.14450867052023122,0.0,0.875886524822695,0.12411347517730496,0.16049382716049382
8,506,153,127,26,0,0.8300653594771242,0.16993464052287582,0.0,0.8410041841004184,0.1589958158995816,0.191699604743083
9,446,132,102,28,2,0.7727272727272727,0.21212121212121213,0.015151515151515152,0.7989949748743719,0.20100502512562815,0.23318385650224216
10,394,113,88,24,1,0.7787610619469026,0.21238938053097345,0.008849557522123894,0.7378048780487805,0.2621951219512195,0.26649746192893403
11,344,95,65,27,3,0.6842105263157895,0.28421052631578947,0.031578947368421054,0.6515151515151515,0.3484848484848485,0.32558139534883723
12,314,98,64,26,8,0.6530612244897959,0.2653061224489796,0.08163265306122448,0.6136363636363636,0.38636363636363635,0.3630573248407643
13,298,97,57,37,3,0.5876288659793815,0.38144329896907214,0.030927835051546393,0.5669291338582677,0.4330708661417323,0.42953020134228187
14,278,92,52,32,8,0.5652173913043478,0.34782608695652173,0.08695652173913043,0.525,0.475,0.4748201438848921
15,263,88,37,43,8,0.42045454545454547,0.48863636363636365,0.09090909090909091,0.4690265486725664,0.5309734513274337,0.5627376425855514
16,260,84,42,36,6,0.5,0.42857142857142855,0.07142857142857142,0.4056603773584906,0.5943396226415094,0.5846153846153846
17,256,84,38,39,7,0.4523809523809524,0.4642857142857143,0.08333333333333333,0.33962264150943394,0.660377358490566,0.62890625
18,259,85,34,45,6,0.4,0.5294117647058824,0.07058823529411765,0.29906542056074764,0.7009345794392523,0.6718146718146718
19,264,90,41,38,11,0.45555555555555555,0.4222222222222222,0.12222222222222222,0.26548672566371684,0.7345132743362832,0.6704545454545454
20,270,91,41,43,7,0.45054945054945056,0.4725274725274725,0.07692307692307693,0.24347826086956523,0.7565217391304347,0.6925925925925925
21,274,93,28,54,11,0.3010752688172043,0.5806451612903226,0.11827956989247312,0.2288135593220339,0.7711864406779662,0.7518248175182481
22,279,99,38,40,21,0.3838383838383838,0.40404040404040403,0.21212121212121213,0.20634920634920634,0.7936507936507936,0.7311827956989247
23,287,100,42,42,16,0.42,0.42,0.16,0.1953125,0.8046875,0.7282229965156795
24,290,103,46,37,20,0.44660194174757284,0.3592233009708738,0.1941747572815534,0.18181818181818182,0.8181818181818182,0.7172413793103448
25,297,108,33,54,21,0.3055555555555556,0.5,0.19444444444444445,0.16546762589928057,0.8345323741007195,0.7643097643097643
26,307,107,42,46,19,0.3925233644859813,0.42990654205607476,0.17757009345794392,0.16546762589928057,0.8345323741007195,0.742671009771987
27,303,106,33,48,25,0.3113207547169811,0.4528301886792453,0.2358490566037736,0.16546762589928057,0.8345323741007195,0.768976897689769
28,312,105,26,61,18,0.24761904761904763,0.580952380952381,0.17142857142857143,0.17518248175182483,0.8248175182481752,0.7980769230769231
29,325,109,38,53,18,0.3486238532110092,0.48623853211009177,0.1651376146788991,0.16783216783216784,0.8321678321678322,0.7723076923076924
30,336,109,32,65,12,0.29357798165137616,0.5963302752293578,0.11009174311926606,0.16666666666666666,0.8333333333333334,0.7976190476190477
31,336,110,40,45,25,0.36363636363636365,0.4090909090909091,0.22727272727272727,0.16326530612244897,0.8367346938775511,0.7738095238095238
32,349,115,37,60,18,0.3217391304347826,0.5217391304347826,0.1565217391304348,0.14935064935064934,0.8506493506493507,0.7879656160458453
33,351,116,38,56,22,0.3275862068965517,0.4827586206896552,0.1896551724137931,0.15286624203821655,0.8471337579617835,0.7891737891737892
34,360,122,41,58,23,0.3360655737704918,0.47540983606557374,0.1885245901639344,0.1393939393939394,0.8606060606060606,0.7861111111111111
35,360,121,25,71,25,0.2066115702479339,0.5867768595041323,0.2066115702479339,0.1402439024390244,0.8597560975609756,0.8305555555555556
36,373,124,48,51,25,0.3870967741935484,0.4112903225806452,0.20161290322580644,0.13690476190476192,0.8630952380952381,0.7774798927613941
37,379,123,37,68,18,0.3008130081300813,0.5528455284552846,0.14634146341463414,0.13609467455621302,0.863905325443787,0.8073878627968337
38,390,126,35,72,19,0.2777777777777778,0.5714285714285714,0.15079365079365079,0.13218390804597702,0.867816091954023,0.8179487179487179
39,401,132,45,63,24,0.3409090909090909,0.4772727272727273,0.18181818181818182,0.12021857923497267,0.8797814207650273,0.7955112219451371
40,397,129,45,56,28,0.3488372093023256,0.43410852713178294,0.21705426356589147,0.13259668508287292,0.8674033149171271,0.7909319899244333
41,407,133,41,69,23,0.3082706766917293,0.518796992481203,0.17293233082706766,0.12903225806451613,0.8709677419354839,0.8034398034398035
42,409,136,39,66,31,0.2867647058823529,0.4852941176470588,0.22794117647058823,0.1256544502617801,0.8743455497382199,0.8092909535452323
43,418,139,54,57,28,0.38848920863309355,0.41007194244604317,0.2014388489208633,0.12755102040816327,0.8724489795918368,0.777511961722488
