step,population_size,births,newborn_AA,newborn_AS,newborn_SS,prop_newborn_AA,prop_newborn_AS,prop_newborn_SS,prop_repro_AA,prop_repro_AS,prop_AS_population
1,1051,256,196,54,6,0.765625,0.2109375,0.0234375,0.751953125,0.248046875,0.24262607040913417
2,1075,250,181,69,0,0.724,0.276,0.0,0.75390625,0.24609375,0.2567441860465116
3,1088,247,187,54,6,0.757085020242915,0.21862348178137653,0.024291497975708502,0.755859375,0.244140625,0.25183823529411764
4,1105,244,194,47,3,0.7950819672131147,0.19262295081967212,0.012295081967213115,0.7465618860510805,0.25343811394891946,0.24524886877828053
5,1125,251,193,53,5,0.7689243027888446,0.21115537848605578,0.0199203187250996,0.7466918714555766,0.2533081285444234,0.24622222222222223
6,1147,258,197,52,9,0.7635658914728682,0.20155038759689922,0.03488372093023256,0.7354014598540146,0.2645985401459854,0.24411508282476024
7,1176,263,203,56,4,0.7718631178707225,0.21292775665399238,0.015209125475285171,0.7340425531914894,0.26595744680851063,0.24489795918367346
8,1195,265,198,60,7,0.7471698113207547,0.22641509433962265,0.026415094339622643,0.7383015597920277,0.2616984402079723,0.2485355648535565
9,1218,269,188,75,6,0.6988847583643123,0.2788104089219331,0.022304832713754646,0.739424703891709,0.26057529610829105,0.2619047619047619
10,1243,273,206,63,4,0.7545787545787546,0.23076923076923078,0.014652014652014652,0.7388429752066116,0.2611570247933884,0.2582461786001609
11,1269,277,211,63,3,0.7617328519855595,0.22743682310469315,0.010830324909747292,0.7407407407407407,0.25925925925925924,0.25925925925925924
12,1286,279,216,57,6,0.7741935483870968,0.20430107526881722,0.021505376344086023,0.7429022082018928,0.25709779179810727,0.25660964230171074
13,1300,280,202,70,8,0.7214285714285714,0.25,0.02857142857142857,0.7285491419656787,0.2714508580343214,0.26461538461538464
14,1321,282,215,64,3,0.7624113475177305,0.22695035460992907,0.010638297872340425,0.7318952234206472,0.26810477657935283,0.2604087812263437
15,1336,284,213,68,3,0.75,0.23943661971830985,0.01056338028169014,0.7344461305007587,0.26555386949924126,0.2634730538922156
16,1352,286,220,63,3,0.7692307692307693,0.2202797202797203,0.01048951048951049,0.7354260089686099,0.2645739910313901,0.25961538461538464
17,1364,287,220,63,4,0.7665505226480837,0.21951219512195122,0.013937282229965157,0.7307692307692307,0.2692307692307692,0.25733137829912023
18,1379,289,200,86,3,0.6920415224913494,0.2975778546712803,0.010380622837370242,0.7320644216691069,0.2679355783308931,0.2726613488034808
19,1390,290,218,67,5,0.7517241379310344,0.23103448275862068,0.017241379310344827,0.7285921625544267,0.2714078374455733,0.2669064748201439
20,1392,292,216,64,12,0.7397260273972602,0.2191780821917808,0.0410958904109589,0.7317073170731707,0.2682926829268293,0.26580459770114945
21,1401,294,206,80,8,0.7006802721088435,0.272108843537415,0.027210884353741496,0.7382645803698435,0.26173541963015645,0.2755174875089222
