step,population_size,births,newborn_AA,newborn_AS,newborn_SS,prop_newborn_AA,prop_newborn_AS,prop_newborn_SS,prop_repro_AA,prop_repro_AS,prop_AS_population
1,1055,253,242,11,0,0.9565217391304348,0.043478260869565216,0.0,0.958498023715415,0.041501976284584984,0.05023696682464455
2,1077,248,242,6,0,0.9758064516129032,0.024193548387096774,0.0,0.9529411764705882,0.047058823529411764,0.04921077065923862
3,1097,247,231,15,1,0.9352226720647774,0.06072874493927125,0.004048582995951417,0.9473684210526315,0.05263157894736842,0.059252506836827715
4,1114,245,228,17,0,0.9306122448979591,0.06938775510204082,0.0,0.933852140077821,0.06614785992217899,0.06463195691202872
5,1136,254,236,17,1,0.9291338582677166,0.06692913385826772,0.003937007874015748,0.9309701492537313,0.06902985074626866,0.06514084507042253
6,1155,257,238,19,0,0.9260700389105059,0.07392996108949416,0.0,0.9381818181818182,0.06181818181818182,0.06753246753246753
7,1172,260,240,20,0,0.9230769230769231,0.07692307692307693,0.0,0.9376114081996435,0.062388591800356503,0.06996587030716724
8,1188,262,243,19,0,0.9274809160305344,0.07251908396946564,0.0,0.9350877192982456,0.06491228070175438,0.0707070707070707
9,1206,266,244,22,0,0.9172932330827067,0.08270676691729323,0.0,0.9345955249569707,0.06540447504302926,0.07379767827529021
10,1222,268,252,16,0,0.9402985074626866,0.05970149253731343,0.0,0.9324324324324325,0.06756756756756757,0.07037643207855974
11,1239,271,260,11,0,0.959409594095941,0.04059040590405904,0.0,0.9303482587064676,0.06965174129353234,0.06618240516545601
12,1255,276,255,21,0,0.9239130434782609,0.07608695652173914,0.0,0.9288025889967637,0.07119741100323625,0.0701195219123506
13,1270,276,255,21,0,0.9239130434782609,0.07608695652173914,0.0,0.9260450160771704,0.07395498392282958,0.07165354330708662
14,1279,276,243,30,3,0.8804347826086957,0.10869565217391304,0.010869565217391304,0.9266347687400319,0.0733652312599681,0.07896794370602032
15,1296,279,259,20,0,0.9283154121863799,0.07168458781362007,0.0,0.9322834645669291,0.06771653543307087,0.07561728395061729
16,1312,281,260,21,0,0.9252669039145908,0.07473309608540925,0.0,0.9303405572755418,0.0696594427244582,0.07621951219512195
17,1321,282,267,15,0,0.9468085106382979,0.05319148936170213,0.0,0.9295558958652373,0.07044410413476264,0.07040121120363362
18,1330,283,262,21,0,0.9257950530035336,0.07420494699646643,0.0,0.923896499238965,0.076103500761035,0.07443609022556391
19,1338,285,263,21,1,0.9228070175438596,0.07368421052631578,0.0035087719298245615,0.9203007518796993,0.07969924812030076,0.07473841554559044
20,1346,287,257,30,0,0.8954703832752613,0.10452961672473868,0.0,0.9195230998509687,0.08047690014903129,0.08172362555720654
21,1357,288,266,22,0,0.9236111111111112,0.0763888888888889,0.0,0.922962962962963,0.07703703703703704,0.08032424465733234
22,1367,289,266,23,0,0.9204152249134948,0.07958477508650519,0.0,0.9205882352941176,0.07941176470588235,0.08119970738844184
23,1370,288,267,20,1,0.9270833333333334,0.06944444444444445,0.003472222222222222,0.9208211143695014,0.07917888563049853,0.07883211678832117
24,1373,289,269,20,0,0.9307958477508651,0.06920415224913495,0.0,0.9154518950437318,0.08454810495626822,0.07793153678077203
25,1377,290,272,17,1,0.9379310344827586,0.05862068965517241,0.0034482758620689655,0.9156976744186046,0.08430232558139535,0.07552650689905592
26,1382,290,264,26,0,0.9103448275862069,0.0896551724137931,0.0,0.9202898550724637,0.07971014492753623,0.07959479015918958
27,1388,291,263,28,0,0.9037800687285223,0.09621993127147767,0.0,0.9205202312138728,0.07947976878612717,0.08357348703170028
28,1390,291,270,21,0,0.9278350515463918,0.07216494845360824,0.0,0.9194244604316547,0.08057553956834532,0.08057553956834532
29,1391,291,270,20,1,0.9278350515463918,0.06872852233676977,0.003436426116838488,0.9224137931034483,0.07758620689655173,0.07836089144500359
30,1395,292,272,20,0,0.9315068493150684,0.0684931506849315,0.0,0.9197707736389685,0.08022922636103152,0.07741935483870968
31,1397,292,269,23,0,0.9212328767123288,0.07876712328767123,0.0,0.9157142857142857,0.08428571428571428,0.07874015748031496
32,1399,292,275,17,0,0.9417808219178082,0.05821917808219178,0.0,0.9213161659513591,0.07868383404864092,0.07433881343817011
33,1401,292,272,19,1,0.9315068493150684,0.06506849315068493,0.003424657534246575,0.9215406562054208,0.07845934379457917,0.07494646680942184
34,1402,294,275,18,1,0.935374149659864,0.061224489795918366,0.003401360544217687,0.9205673758865248,0.07943262411347518,0.07203994293865906
35,1406,294,273,21,0,0.9285714285714286,0.07142857142857142,0.0,0.9206798866855525,0.07932011331444759,0.0732574679943101
36,1405,294,270,22,2,0.9183673469387755,0.07482993197278912,0.006802721088435374,0.9222065063649222,0.07779349363507779,0.07402135231316725
37,1407,294,273,19,2,0.9285714285714286,0.06462585034013606,0.006802721088435374,0.9236209335219236,0.07637906647807638,0.07178393745557925
38,1410,294,273,21,0,0.9285714285714286,0.07142857142857142,0.0,0.9278642149929278,0.07213578500707214,0.07163120567375887
39,1405,293,272,18,3,0.9283276450511946,0.06143344709897611,0.010238907849829351,0.9321074964639321,0.06789250353606789,0.06832740213523132
40,1409,294,267,27,0,0.9081632653061225,0.09183673469387756,0.0,0.9320113314447592,0.0679886685552408,0.07381121362668559
41,1408,293,271,22,0,0.9249146757679181,0.07508532423208192,0.0,0.9321074964639321,0.06789250353606789,0.07244318181818182
42,1410,294,274,19,1,0.9319727891156463,0.06462585034013606,0.003401360544217687,0.9321074964639321,0.06789250353606789,0.07092198581560284
