step,population_size,births,newborn_AA,newborn_AS,newborn_SS,prop_newborn_AA,prop_newborn_AS,prop_newborn_SS,prop_repro_AA,prop_repro_AS,prop_AS_population
1,96,22,22,0,0,1.0,0.0,0.0,1.0,0.0,0.03125
2,96,22,22,0,0,1.0,0.0,0.0,1.0,0.0,0.03125
3,95,21,21,0,0,1.0,0.0,0.0,1.0,0.0,0.031578947368421054
4,99,24,24,0,0,1.0,0.0,0.0,0.9347826086956522,0.06521739130434782,0.030303030303030304
5,102,24,22,2,0,0.9166666666666666,0.08333333333333333,0.0,0.9375,0.0625,0.049019607843137254
6,105,25,23,2,0,0.92,0.08,0.0,0.94,0.06,0.05714285714285714
7,106,24,23,1,0,0.9583333333333334,0.041666666666666664,0.0,0.94,0.06,0.05660377358490566
8,109,25,23,2,0,0.92,0.08,0.0,0.9423076923076923,0.057692307692307696,0.07339449541284404
9,112,26,23,3,0,0.8846153846153846,0.11538461538461539,0.0,0.9259259259259259,0.07407407407407407,0.08928571428571429
10,114,26,23,3,0,0.8846153846153846,0.11538461538461539,0.0,0.9107142857142857,0.08928571428571429,0.10526315789473684
11,116,27,23,4,0,0.8518518518518519,0.14814814814814814,0.0,0.8947368421052632,0.10526315789473684,0.1206896551724138
12,116,25,24,1,0,0.96,0.04,0.0,0.9272727272727272,0.07272727272727272,0.11206896551724138
13,119,26,26,0,0,1.0,0.0,0.0,0.8947368421052632,0.10526315789473684,0.10084033613445378
14,122,27,25,2,0,0.9259259259259259,0.07407407407407407,0.0,0.8666666666666667,0.13333333333333333,0.11475409836065574
15,124,28,23,5,0,0.8214285714285714,0.17857142857142858,0.0,0.8387096774193549,0.16129032258064516,0.14516129032258066
16,123,28,24,2,2,0.8571428571428571,0.07142857142857142,0.07142857142857142,0.8253968253968254,0.1746031746031746,0.13821138211382114
17,125,28,19,8,1,0.6785714285714286,0.2857142857142857,0.03571428571428571,0.8412698412698413,0.15873015873015872,0.192
18,129,28,23,5,0,0.8214285714285714,0.17857142857142858,0.0,0.8412698412698413,0.15873015873015872,0.20155038759689922
19,131,28,24,4,0,0.8571428571428571,0.14285714285714285,0.0,0.8153846153846154,0.18461538461538463,0.21374045801526717
20,134,28,22,6,0,0.7857142857142857,0.21428571428571427,0.0,0.8153846153846154,0.18461538461538463,0.23880597014925373
