step,population_size,births,newborn_AA,newborn_AS,newborn_SS,prop_newborn_AA,prop_newborn_AS,prop_newborn_SS,prop_repro_AA,prop_repro_AS,prop_AS_population
1,1125,268,255,13,0,0.9514925373134329,0.048507462686567165,0.0,0.9552238805970149,0.04477611940298507,0.052444444444444446
2,1185,253,246,7,0,0.9723320158102767,0.02766798418972332,0.0,0.9516728624535316,0.048327137546468404,0.05232067510548523
3,1238,247,231,15,1,0.9352226720647774,0.06072874493927125,0.004048582995951417,0.9481481481481482,0.05185185185185185,0.05896607431340872
4,1287,242,226,16,0,0.9338842975206612,0.06611570247933884,0.0,0.9354243542435424,0.06457564575645756,0.06293706293706294
5,1358,266,248,17,1,0.9323308270676691,0.06390977443609022,0.0037593984962406013,0.9326765188834154,0.06732348111658457,0.06553755522827688
6,1434,281,260,21,0,0.9252669039145908,0.07473309608540925,0.0,0.9366515837104072,0.06334841628959276,0.06903765690376569
7,1508,292,268,24,0,0.9178082191780822,0.0821917808219178,0.0,0.9338028169014084,0.06619718309859154,0.07228116710875332
8,1580,299,276,23,0,0.9230769230769231,0.07692307692307693,0.0,0.932,0.068,0.07341772151898734
9,1657,310,284,26,0,0.9161290322580645,0.08387096774193549,0.0,0.93125,0.06875,0.07664453832226917
10,1735,322,302,20,0,0.937888198757764,0.062111801242236024,0.0,0.9287383177570093,0.07126168224299065,0.07377521613832853
11,1814,333,318,15,0,0.954954954954955,0.04504504504504504,0.0,0.9274725274725275,0.07252747252747253,0.06945975744211687
12,1889,343,316,26,1,0.9212827988338192,0.07580174927113703,0.0029154518950437317,0.9265010351966874,0.07349896480331262,0.0714663843303335
13,1955,342,315,27,0,0.9210526315789473,0.07894736842105263,0.0,0.9221435793731041,0.07785642062689585,0.0731457800511509
14,2012,345,304,38,3,0.881159420289855,0.11014492753623188,0.008695652173913044,0.9224730127576055,0.0775269872423945,0.07952286282306163
15,2074,351,323,27,1,0.9202279202279202,0.07692307692307693,0.002849002849002849,0.9262759924385633,0.07372400756143667,0.07907425265188042
16,2131,359,330,29,0,0.9192200557103064,0.0807799442896936,0.0,0.9230769230769231,0.07692307692307693,0.08071328015016424
17,2183,363,340,22,1,0.9366391184573003,0.06060606060606061,0.0027548209366391185,0.920844327176781,0.079155672823219,0.0787906550618415
18,2229,365,336,29,0,0.9205479452054794,0.07945205479452055,0.0,0.9131556319862425,0.08684436801375753,0.08120233288470166
19,2270,368,329,39,0,0.8940217391304348,0.10597826086956522,0.0,0.9132996632996633,0.0867003367003367,0.086784140969163
20,2313,371,340,31,0,0.9164420485175202,0.08355795148247978,0.0,0.9126133553173948,0.08738664468260511,0.08776480760916558
21,2348,372,350,22,0,0.9408602150537635,0.05913978494623656,0.0,0.9165316045380876,0.08346839546191248,0.08390119250425894
22,2375,375,338,36,1,0.9013333333333333,0.096,0.0026666666666666666,0.9146730462519936,0.08532695374800638,0.08757894736842105
23,2404,377,335,42,0,0.8885941644562334,0.11140583554376658,0.0,0.9056603773584906,0.09433962264150944,0.09234608985024959
24,2429,377,351,26,0,0.9310344827586207,0.06896551724137931,0.0,0.905616224648986,0.09438377535101404,0.09016055990119391
25,2444,377,340,35,2,0.9018567639257294,0.09283819628647215,0.005305039787798408,0.9095127610208816,0.09048723897911833,0.09247135842880523
26,2463,380,354,25,1,0.9315789473684211,0.06578947368421052,0.002631578947368421,0.9089517980107116,0.09104820198928845,0.08972797401542834
27,2476,381,333,45,3,0.8740157480314961,0.11811023622047244,0.007874015748031496,0.9028831562974203,0.09711684370257967,0.09693053311793215
28,2492,381,350,30,1,0.9186351706036745,0.07874015748031496,0.0026246719160104987,0.9049056603773585,0.09509433962264151,0.09470304975922954
29,2502,381,337,42,2,0.884514435695538,0.11023622047244094,0.005249343832020997,0.9009009009009009,0.0990990990990991,0.09952038369304557
30,2513,382,351,29,2,0.918848167539267,0.07591623036649214,0.005235602094240838,0.9042632759910246,0.09573672400897532,0.09669717469160366
31,2523,383,357,26,0,0.9321148825065274,0.06788511749347259,0.0,0.8995535714285714,0.10044642857142858,0.09433214427269124
32,2530,383,346,36,1,0.9033942558746736,0.09399477806788512,0.0026109660574412533,0.9013353115727003,0.09866468842729971,0.09644268774703557
33,2536,383,350,33,0,0.9138381201044387,0.08616187989556136,0.0,0.8943089430894309,0.10569105691056911,0.09621451104100946
34,2541,383,338,42,3,0.8825065274151436,0.10966057441253264,0.007832898172323759,0.8974169741697416,0.1025830258302583,0.09996064541519087
35,2547,384,354,30,0,0.921875,0.078125,0.0,0.9028697571743929,0.09713024282560706,0.09736945425991363
36,2548,383,342,38,3,0.8929503916449086,0.09921671018276762,0.007832898172323759,0.9006622516556292,0.09933774834437085,0.1000784929356358
37,2556,384,349,35,0,0.9088541666666666,0.09114583333333333,0.0,0.9016874541452677,0.0983125458547322,0.10015649452269171
38,2560,384,345,38,1,0.8984375,0.09895833333333333,0.0026041666666666665,0.8951612903225806,0.10483870967741936,0.101953125
39,2563,385,345,39,1,0.8961038961038961,0.1012987012987013,0.0025974025974025974,0.8991964937910883,0.10080350620891161,0.10339445961763559
40,2566,384,352,32,0,0.9166666666666666,0.08333333333333333,0.0,0.8968544257498171,0.10314557425018288,0.10171473109898675
41,2565,384,339,44,1,0.8828125,0.11458333333333333,0.0026041666666666665,0.8978847556528081,0.10211524434719182,0.10565302144249512
42,2569,385,346,36,3,0.8987012987012987,0.09350649350649351,0.007792207792207792,0.8949671772428884,0.1050328227571116,0.10548851693265862
43,2571,385,349,36,0,0.9064935064935065,0.09350649350649351,0.0,0.8907501820830298,0.10924981791697014,0.10540645663166083
44,2573,384,339,44,1,0.8828125,0.11458333333333333,0.0026041666666666665,0.8929351784413693,0.10706482155863073,0.10921103769918383
45,2569,384,338,43,3,0.8802083333333334,0.11197916666666667,0.0078125,0.8884839650145773,0.11151603498542274,0.11054885169326586
46,2572,385,346,39,0,0.8987012987012987,0.1012987012987013,0.0,0.8893740902474527,0.11062590975254731,0.1104199066874028
47,2570,384,347,35,2,0.9036458333333334,0.09114583333333333,0.005208333333333333,0.8899416909620991,0.11005830903790087,0.10933852140077821
48,2571,385,332,50,3,0.8623376623376623,0.12987012987012986,0.007792207792207792,0.8871906841339156,0.11280931586608442,0.11474134577985219
49,2570,384,337,45,2,0.8776041666666666,0.1171875,0.005208333333333333,0.8841107871720116,0.11588921282798834,0.11634241245136187
50,2571,385,338,46,1,0.8779220779220779,0.11948051948051948,0.0025974025974025974,0.8828238719068413,0.11717612809315867,0.11824192921042397
51,2572,385,330,53,2,0.8571428571428571,0.13766233766233765,0.005194805194805195,0.8842794759825328,0.11572052401746726,0.12325038880248834
52,2570,384,341,42,1,0.8880208333333334,0.109375,0.0026041666666666665,0.8796498905908097,0.12035010940919037,0.12178988326848249
53,2573,385,347,37,1,0.9012987012987013,0.09610389610389611,0.0025974025974025974,0.8783685360524399,0.12163146394756008,0.12009327633113097
54,2571,385,346,35,4,0.8987012987012987,0.09090909090909091,0.01038961038961039,0.8755458515283843,0.12445414847161572,0.11863088292493193
55,2571,384,339,45,0,0.8828125,0.1171875,0.0,0.869533527696793,0.130466472303207,0.12096460521197977
56,2571,385,335,48,2,0.8701298701298701,0.12467532467532468,0.005194805194805195,0.8697234352256187,0.13027656477438138,0.12329832749902761
